time,pres,P1,P2,P3,accmag,magx,magy,magz,absaccx,absaccy,absaccz
0.0,1000.0808512369791,1000.13232421875,1000.0667724609375,1000.04345703125,-0.17130192268632527,-37.0625,11.75,33.875,-0.10813948898466191,-0.04400117873794107,-0.17200900743302583
0.01,1000.0674845377604,1000.122314453125,999.9567260742188,1000.1234130859375,-0.15566411721533235,-37.0625,11.75,33.875,-0.023745932420083216,-0.17943722469567702,-0.1573609955250781
0.02,1000.1041666666666,1000.142333984375,1000.0567626953125,1000.1134033203125,-0.49663833591184137,-37.0625,11.75,33.875,-0.036903264040817674,0.02362699087619813,-0.49674141878836053
0.03,1000.0841674804688,1000.0923461914062,1000.0367431640625,1000.1234130859375,-0.5490392922476044,-37.0625,11.75,33.875,-0.037207283533714275,0.11692010016920329,-0.549852131916996
0.04,1000.0308430989584,1000.0823364257812,999.9967651367188,1000.013427734375,-0.5712553826834093,-37.5,11.75,33.1875,-0.1016662722118935,0.1724334656339026,-0.5734241857157762
0.051,1000.0675048828125,1000.0723266601562,1000.1067504882812,1000.0234375,-0.5061732367889391,-37.5,11.75,33.1875,-0.08581478238583262,0.13818366371559665,-0.5075952819688272
0.061,1000.1241861979166,1000.0423583984375,1000.0567626953125,1000.2734375,0.18020058155598306,-37.5,11.75,33.1875,0.011415243195014024,0.05515472238344077,0.18004180714691032
0.071,1000.1175130208334,1000.1023559570312,1000.146728515625,1000.1034545898438,0.15540052727774345,-37.5,11.75,33.1875,0.11955865720453773,0.07793262359510478,0.15437855075440865
0.081,1000.0441691080729,1000.0523681640625,1000.0267333984375,1000.0534057617188,0.03196074755779499,-37.5,11.75,33.1875,0.06304155509041703,0.11758526388625579,0.031056387630190585
0.091,1000.0275065104166,1000.0323486328125,1000.0967407226562,999.9534301757812,-0.10777824382591383,-37.75,11.75,33.5625,-0.011529698517395826,0.20661655147172242,-0.10998537770752748
0.102,1000.0374959309896,1000.0023193359375,1000.0167236328125,1000.0934448242188,-0.30795273586506866,-37.75,11.75,33.5625,-0.06910719351244143,0.13387793898697375,-0.30914724337275246
