time,pres,P1,P2,P3,accmag,magx,magy,magz,absaccx,absaccy,absaccz
0.0,999.9922281901041,999.9262084960938,1000.0071411132812,1000.0433349609375,0.08127349745812928,-1.0,4.375,56.0,-0.4740180940113239,-0.26147179978411916,0.06644828599760899
0.01,999.9589029947916,999.876220703125,999.9771728515625,1000.0233154296875,0.3973603756986961,-1.0,4.375,56.0,-0.4562264451087711,-0.4445252285075689,0.37746585718880077
0.02,1000.0388997395834,1000.0662231445312,999.9871215820312,1000.0633544921875,-0.08637420762558534,-1.0,4.375,56.0,-0.3448700774606409,-0.48160584702108267,-0.10443360808261026
0.03,999.9455769856771,999.90625,999.9371337890625,999.9933471679688,-0.12406204812667809,-1.0,4.0,56.0,0.10228315089559076,-0.09874069368158267,-0.12510545023880404
0.04,1000.0555826822916,1000.0262451171875,1000.0771484375,1000.0633544921875,0.13534074259798778,-1.0,4.0,56.0,-0.26800419999031466,-0.31276444646688617,0.1268080708139525
0.051,1000.0189005533854,1000.0361938476562,1000.0071411132812,1000.0133666992188,0.17368167654176503,-1.0,4.0,56.0,0.3517652342242146,-0.40960712967330704,0.15907132273752822
0.061,999.9855753580729,999.9862060546875,999.9671630859375,1000.0033569335938,0.10313298357301015,-1.0,4.0,56.0,-0.03630706386362398,-0.3097322303547525,0.09822654628951355
0.071,1000.0055541992188,999.9262084960938,999.9871215820312,1000.1033325195312,0.22615447541998712,-1.0,4.0,56.0,-0.28881471036456047,-0.27313283586654524,0.2182790732777864
0.081,1000.0355631510416,1000.0462036132812,1000.0271606445312,1000.0333251953125,0.09081277475160654,-0.25,4.5,54.75,-0.25331137994692493,-0.2082164114792615,0.08538139090478403
0.091,999.965576171875,999.9662475585938,999.9271240234375,1000.0033569335938,-0.10090630079361596,-0.25,4.5,54.75,-0.20227784065547327,-0.22233401315343482,-0.10556020567163493
0.102,999.9722290039062,999.9462280273438,1000.0171508789062,999.9533081054688,0.041974758103423326,-0.25,4.5,54.75,-0.16500186779918324,-0.2192848432630825,0.03815186598200704
0.112,1000.0155639648438,999.9862060546875,1000.09716796875,999.9633178710938,0.018509584147802016,-0.25,4.5,54.75,-0.05774732099005225,-0.3718102234061771,0.011304549313921441
0.122,999.9755655924479,999.9362182617188,1000.0171508789062,999.9733276367188,-0.039094188340296654,-0.25,4.5,54.75,0.24612072785806532,-0.10396210103290926,-0.04274773289883704
0.132,1000.0122273763021,999.9962158203125,1000.0071411132812,1000.0333251953125,0.29476094147641696,-1.0,4.75,55.5625,-0.05156758253062865,-0.20797310594754226,0.29248888423154185
