time,pres,P1,P2,P3,accmag,magx,magy,magz,absaccx,absaccy,absaccz
0.0,1000.0731201171875,1000.000732421875,1000.0828857421875,1000.1357421875,-0.3077055401849833,21.1875,-28.0,0.1875,-0.030916617539857815,-0.035593957758332684,-0.30782250039696635
0.01,1000.0664469401041,1000.1107177734375,1000.0828857421875,1000.0057373046875,-0.3078107785036952,21.1875,-28.0,0.1875,-0.023216207704719806,-0.05405133146206188,-0.3079928719039806
0.02,1000.0464680989584,1000.0107421875,1000.1029052734375,1000.0257568359375,-0.318209038420294,21.1875,-28.0,0.1875,-0.004947835816315091,-0.046334416591223185,-0.3183234200123479
0.03,1000.0064290364584,1000.0406494140625,999.972900390625,1000.0057373046875,-0.3180510086243835,20.75,-26.5,-0.5,-0.01032482721128202,-0.059414219055959755,-0.3182425756136382
0.04,1000.0631103515625,1000.0606689453125,1000.1129150390625,1000.0157470703125,-0.3382417123292054,20.75,-26.5,-0.5,-0.001469682130069391,-0.05553374902989028,-0.3384046273706609
0.051,1000.0264078776041,1000.0206298828125,999.992919921875,1000.065673828125,-0.3177033518302874,20.75,-26.5,-0.5,-0.031102652026132032,-0.035579279851852816,-0.3178209879534961
0.061,1000.0564371744791,1000.0606689453125,1000.0628662109375,1000.0457763671875,-0.32775916135497063,20.75,-26.5,-0.5,-0.027438482311993785,-0.04479328707826064,-0.3279046612476666
0.071,1000.0497639973959,1000.0506591796875,1000.0528564453125,1000.0457763671875,-0.3280122695806309,20.75,-26.5,-0.5,-0.014361066615125215,-0.050170854297615294,-0.32815587741666086
0.081,1000.0497233072916,1000.0406494140625,1000.0328369140625,1000.07568359375,-0.32824429109589026,20.375,-27.25,0.1875,-0.0012836653850202741,-0.05554842553660794,-0.3284070933223848
0.091,1000.0397542317709,1000.0306396484375,1000.0029296875,1000.085693359375,-0.3180510086243835,20.375,-27.25,0.1875,-0.01032482721128202,-0.059414219055959755,-0.3182425756136382
0.102,1000.0230712890625,1000.0206298828125,1000.0428466796875,1000.0057373046875,-0.32810191347665985,20.375,-27.25,0.1875,-0.012834280137727288,-0.02786236498101413,-0.3281515360618634
0.112,1000.0163981119791,1000.0206298828125,1000.0128173828125,1000.0157470703125,-0.35800569222909573,20.375,-27.25,0.1875,-0.01491915233272271,-0.0501268219779379,-0.35815038657799647
0.122,1000.0497639973959,1000.0506591796875,1000.0528564453125,1000.0457763671875,-0.3180141353431587,20.375,-27.25,0.1875,-0.014175032128851026,-0.05018553220409515,-0.3181573898601311
0.132,1000.0264485677084,999.99072265625,1000.0728759765625,1000.0157470703125,-0.3180510086243835,20.0,-27.25,-0.5,-0.01032482721128202,-0.059414219055959755,-0.3182425756136382
0.142,999.9931233723959,999.95068359375,999.992919921875,1000.0357666015625,-0.3180931496926114,20.0,-27.25,-0.5,-0.002624417376144011,-0.07787159275968895,-0.3184129471206525
0.153,1000.0430908203125,1000.0606689453125,1000.0228271484375,1000.0457763671875,-0.3277011583776712,20.0,-27.25,-0.5,-0.031288686512406225,-0.03556460194537296,-0.3278194755100259
0.163,1000.0430501302084,1000.0206298828125,1000.0328369140625,1000.07568359375,-0.31780870099304437,20.0,-27.25,-0.5,-0.023402242190994023,-0.054036653555582015,-0.3179913594605104
0.173,999.9864501953125,1000.000732421875,999.972900390625,999.9857177734375,-0.3078476121906011,20.0,-27.25,-0.5,-0.019366002787150803,-0.06328001831392649,-0.30807805765748775
0.184,1000.0330810546875,1000.000732421875,1000.0328369140625,1000.065673828125,-0.3280122695806309,20.0,-26.5,-0.0625,-0.014361066615125215,-0.050170854297615294,-0.32815587741666086
0.194,1000.0531005859375,999.970703125,1000.0828857421875,1000.105712890625,-0.327843529979436,20.0,-26.5,-0.0625,-0.01973807175969921,-0.06325066250096677,-0.3280750327705473
0.205,1000.0130615234375,1000.0506591796875,1000.0128173828125,999.9757080078125,-0.3180141353431587,20.0,-26.5,-0.0625,-0.014175032128851026,-0.05018553220409515,-0.3181573898601311
0.215,1000.0464274088541,1000.0806884765625,1000.0428466796875,1000.0157470703125,-0.29816503738726574,20.0,-26.5,-0.0625,-0.008425972478492257,-0.0371350838333414,-0.29824125912991484
0.225,999.9930826822916,999.9306640625,1000.0428466796875,1000.0057373046875,-0.30765818351979135,20.0,-26.5,-0.0625,-0.024742994182117704,-0.07635982077866305,-0.30799721325877805
0.236,1000.0164388020834,999.980712890625,1000.0428466796875,1000.0257568359375,-0.31788771363241786,21.1875,-26.875,-0.5,-0.011851627438287009,-0.08172271411117582,-0.3182469167210318
0.246,1000.02978515625,999.960693359375,1000.1029052734375,1000.0257568359375,-0.3080159966971916,21.1875,-26.875,-0.5,-0.013988997642576809,-0.050200210110575016,-0.3081589023036013
0.257,1000.0297444661459,1000.000732421875,1000.0228271484375,1000.065673828125,-0.33800944592171867,21.1875,-26.875,-0.5,-0.014547083360174332,-0.050156177790897635,-0.33815341146493694
0.267,1000.0264078776041,999.9306640625,1000.0828857421875,1000.065673828125,-0.3576195383217282,21.1875,-26.875,-0.5,-0.02952335378983261,-0.06705774579416132,-0.35790351177966606
0.277,999.9997965494791,999.99072265625,999.992919921875,1000.0157470703125,-0.33742352593639424,21.1875,-26.875,-0.5,-0.03452828996185823,-0.08016690981047253,-0.33782569202049295
0.288,1000.0397542317709,1000.0806884765625,1000.0428466796875,999.9957275390625,-0.3083948724156915,20.75,-27.25,-0.875,0.004465408732102124,-0.042497973146216186,-0.30849096285543887
0.298,1000.0064290364584,1000.0206298828125,999.98291015625,1000.0157470703125,-0.2978443898100416,20.75,-27.25,-0.875,-0.0253535786261662,-0.02252882574248416,-0.29790485747068374
0.309,1000.0230712890625,999.940673828125,1000.0528564453125,1000.07568359375,-0.3177612937153018,20.75,-27.25,-0.875,-0.027252447825719596,-0.044807964984740496,-0.31790617369113683
0.319,1000.02978515625,1000.000732421875,1000.0029296875,1000.085693359375,-0.33783524970867873,20.75,-27.25,-0.875,-0.026097698830037912,-0.02247011551632691,-0.3378978541885491
0.329,1000.0364583333334,1000.000732421875,1000.0828857421875,1000.0257568359375,-0.32780661861816185,20.0,-26.5,-0.5,-0.023588276677268212,-0.05402197564910216,-0.32798984701704015
0.34,1000.0230712890625,1000.0206298828125,1000.1029052734375,999.9456787109375,-0.31796672703939066,20.0,-26.5,-0.5,-0.018025237763576597,-0.04095684363325363,-0.31807220409075754
0.35,1000.02978515625,1000.0706787109375,1000.0029296875,1000.0157470703125,-0.31741891511529907,20.0,-26.5,-0.5,-0.044180053973393515,-0.03020170689388324,-0.31756977203190573
0.36,1000.0231119791666,1000.1107177734375,999.972900390625,999.9857177734375,-0.3077634211062392,20.0,-26.5,-0.5,-0.02706641333944538,-0.044822642891220364,-0.30790768613460706
0.37,1000.0397135416666,1000.0306396484375,1000.0328369140625,1000.0556640625,-0.3180141353431587,20.0,-26.5,-0.5,-0.014175032128851026,-0.05018553220409515,-0.3181573898601311
0.38,1000.0730794270834,1000.0606689453125,1000.0928955078125,1000.065673828125,-0.33780357791044047,20.375,-26.5,0.1875,-0.02377429342231733,-0.0540072991423845,-0.33798738106531623
