time,pres,P1,P2,P3,accmag,magx,magy,magz,absaccx,absaccy,absaccz
0.0,999.8071492513021,999.8212280273438,999.7785034179688,999.8217163085938,-0.10609843798858343,35.1875,9.25,7.0625,-0.09657981355362777,0.06346869331362215,-0.10678663587208348
0.01,999.7871500651041,999.8412475585938,999.738525390625,999.7816772460938,-0.10609843798858343,35.1875,9.25,7.0625,-0.09657981355362777,0.06346869331362215,-0.10678663587208348
0.02,999.7904663085938,999.8112182617188,999.7684936523438,999.7916870117188,-0.11075231723560464,35.1875,9.25,7.0625,-0.11270901600357863,0.038613487714753925,-0.1114840677612694
0.031,999.7838338216146,999.8512573242188,999.738525390625,999.76171875,-0.12354545831868968,34.75,8.5625,8.1875,-0.10671055359083903,0.03712496788477537,-0.12420441148119465
0.041,999.8004760742188,999.8312377929688,999.7684936523438,999.8016967773438,-0.13321885767764918,34.75,8.5625,8.1875,-0.12194552226129662,0.06096640478606363,-0.1341793286825883
0.051,999.7804768880209,999.8012084960938,999.7785034179688,999.76171875,-0.12808916476425125,34.75,8.5625,8.1875,-0.09273496230629563,0.06512500566073731,-0.12875233340975178
0.062,999.7804768880209,999.8212280273438,999.7484741210938,999.771728515625,-0.13120888336571213,34.75,8.5625,8.1875,-0.10348776393959636,0.04855486859482516,-0.13188395466920966
0.072,999.7738037109375,999.8112182617188,999.728515625,999.7816772460938,-0.12041294580187945,34.75,8.5625,8.1875,-0.12794398467403667,0.062454924616042184,-0.12145898496266305
0.082,999.7771402994791,999.76123046875,999.7785034179688,999.7916870117188,-0.10201846672339698,34.75,8.5625,6.375,-0.12363676234322218,0.056165260261854755,-0.10296827732717695
0.093,999.7804972330729,999.8312377929688,999.738525390625,999.771728515625,-0.11885985798972953,34.75,8.5625,6.375,-0.12256758385738609,0.07073999314899826,-0.11989317433293145
0.103,999.7571411132812,999.8112182617188,999.7484741210938,999.7117309570312,-0.12557943782587344,34.75,8.5625,6.375,-0.09318207919604227,0.04077668441065896,-0.1261135907536488
0.114,999.7371419270834,999.791259765625,999.6884765625,999.731689453125,-0.12200219035744375,34.75,8.5625,6.375,-0.10133415277418889,0.04541003641773145,-0.1226386008514666
0.124,999.7637939453125,999.8012084960938,999.7484741210938,999.74169921875,-0.1143357278929038,34.75,8.5625,6.375,-0.10455694242543201,0.03398013570768166,-0.1149590576634516
0.135,999.7638346354166,999.78125,999.738525390625,999.771728515625,-0.13629888135554502,35.5,8.5625,7.5,-0.1326983238945969,0.04439626772015148,-0.1373109499420444
0.145,999.7338053385416,999.8112182617188,999.6585083007812,999.731689453125,-0.12450066565219053,35.5,8.5625,7.5,-0.10088703588444226,0.06975835766780958,-0.12527734350756958
0.156,999.7804972330729,999.8412475585938,999.738525390625,999.76171875,-0.13990705120571612,35.5,8.5625,7.5,-0.09256001759995325,0.031003096047724332,-0.1403997451033021
0.166,999.740478515625,999.78125,999.718505859375,999.7216796875,-0.12606498447896897,35.5,8.5625,7.5,-0.1062634367010924,0.061473289134853504,-0.12684315413729763
0.176,999.7338053385416,999.8012084960938,999.6685180664062,999.731689453125,-0.12556416842623896,35.1875,8.5625,6.375,-0.12516831191253974,0.04953650407601384,-0.1264997854945733
0.186,999.7671508789062,999.8112182617188,999.738525390625,999.751708984375,-0.1112420578615545,35.1875,8.5625,6.375,-0.09380414079213173,0.05055027277359381,-0.11182743640399373
0.197,999.740478515625,999.791259765625,999.70849609375,999.7216796875,-0.12200219035744375,35.1875,8.5625,6.375,-0.10133415277418889,0.04541003641773145,-0.1226386008514666
0.207,999.7438151041666,999.76123046875,999.718505859375,999.751708984375,-0.11841594506680053,35.1875,8.5625,6.375,-0.10948622635233551,0.050043388424803714,-0.1191636109492844
0.217,999.7604777018229,999.76123046875,999.728515625,999.7916870117188,-0.11789488892593702,35.1875,8.5625,6.375,-0.12839110156378286,0.038106603365964054,-0.1188202423065583
0.227,999.7304890950521,999.78125,999.728515625,999.6817016601562,-0.10966488556797316,35.1875,9.6875,6.375,-0.12041397269197907,0.06759516097190454,-0.1106478205151884
0.237,999.7638142903646,999.771240234375,999.7584838867188,999.76171875,-0.13682092884710073,35.1875,9.6875,6.375,-0.11379344868315,0.056333052778991144,-0.1376543185847705
0.248,999.7571411132812,999.8112182617188,999.718505859375,999.74169921875,-0.14910427064407017,35.1875,9.6875,6.375,-0.12669965610219247,0.04290744798246915,-0.1500304119765019
0.258,999.7371215820312,999.8112182617188,999.678466796875,999.7216796875,-0.12044884781353637,35.1875,9.6875,6.375,-0.09595775195753875,0.05369510495068752,-0.12107279022173678
0.268,999.7271525065104,999.771240234375,999.698486328125,999.7117309570312,-0.12916339141834499,35.1875,9.6875,6.375,-0.11701623833439312,0.044903152068941354,-0.1299747753967555
0.278,999.7271525065104,999.791259765625,999.678466796875,999.7117309570312,-0.12354545831868968,35.5,8.5625,7.0625,-0.10671055359083903,0.03712496788477537,-0.12420441148119465
0.288,999.7304890950521,999.7212524414062,999.70849609375,999.76171875,-0.1199586418707721,35.5,8.5625,7.0625,-0.11486262716898565,0.04175831989184764,-0.12072942157901245
0.299,999.7538248697916,999.76123046875,999.738525390625,999.76171875,-0.1143357278929038,35.5,8.5625,7.0625,-0.10455694242543201,0.03398013570768166,-0.1149590576634516
0.309,999.740478515625,999.8312377929688,999.6484985351562,999.74169921875,-0.133234139648728,35.5,8.5625,7.0625,-0.08995928954479915,0.05220658512070875,-0.13379313394166203
0.319,999.7071533203125,999.7212524414062,999.6685180664062,999.731689453125,-0.12044884781353637,35.5,8.5625,7.0625,-0.09595775195753875,0.05369510495068752,-0.12107279022173678
0.329,999.7138061523438,999.751220703125,999.698486328125,999.6917114257812,-0.1276192280185935,34.75,8.5625,5.5625,-0.11163983751774298,0.05318822060189743,-0.12840896476702746
0.34,999.7404581705729,999.8012084960938,999.698486328125,999.7216796875,-0.12301380315066623,34.75,8.5625,5.5625,-0.12561542880228638,0.02518818282593549,-0.12386104283847033
0.35,999.7604777018229,999.8012084960938,999.70849609375,999.771728515625,-0.1383611724847036,34.75,8.5625,5.5625,-0.08718361678330311,0.03928816458068041,-0.13883393447357406
0.36,999.7471516927084,999.791259765625,999.70849609375,999.74169921875,-0.1276192280185935,34.75,8.5625,5.5625,-0.11163983751774298,0.05318822060189743,-0.12840896476702746
0.371,999.7237955729166,999.771240234375,999.678466796875,999.7216796875,-0.12149126282620415,34.75,8.5625,5.5625,-0.12023902798563624,0.033473251358891565,-0.1222952322087405
0.381,999.7204793294271,999.751220703125,999.6685180664062,999.74169921875,-0.1199586418707721,35.875,9.6875,6.375,-0.11486262716898565,0.04175831989184764,-0.12072942157901245
0.391,999.7171223958334,999.7412109375,999.678466796875,999.731689453125,-0.11121650096858815,35.875,9.6875,6.375,-0.1257903735086292,0.05931009243894847,-0.11221363114492
0.402,999.740478515625,999.8312377929688,999.6685180664062,999.7216796875,-0.12246153209817479,35.875,9.6875,6.375,-0.08242927756274154,0.05734682147657111,-0.12298196949419093
0.412,999.7471313476562,999.8212280273438,999.678466796875,999.74169921875,-0.12354545831868968,35.875,9.6875,6.375,-0.10671055359083903,0.03712496788477537,-0.12420441148119465
0.423,999.7738037109375,999.8212280273438,999.7584838867188,999.74169921875,-0.12606498447896897,35.875,9.6875,6.375,-0.1062634367010924,0.061473289134853504,-0.12684315413729763
0.433,999.75048828125,999.771240234375,999.718505859375,999.76171875,-0.12044884781353637,35.1875,9.25,7.5,-0.09595775195753875,0.05369510495068752,-0.12107279022173678
0.443,999.7371419270834,999.76123046875,999.70849609375,999.74169921875,-0.1199586418707721,35.1875,9.25,7.5,-0.11486262716898565,0.04175831989184764,-0.12072942157901245
0.454,999.7338053385416,999.76123046875,999.718505859375,999.7216796875,-0.12557943782587344,35.1875,9.25,7.5,-0.09318207919604227,0.04077668441065896,-0.1261135907536488
0.464,999.7438354492188,999.791259765625,999.728515625,999.7117309570312,-0.1352652070566034,35.1875,9.25,7.5,-0.10841704786649942,0.06461812131194722,-0.13608850795504068
