Time (s),Accel_X (g),Accel_Y (g),Accel_Z (g),Accel_Mag (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s),Mag_X (mT),Mag_Y (mT),Mag_Z (mT),Pressure (mbar),P_Temp (C),Battery (V)
0.68,-0.83843,-0.41998,-0.46789,1.048,77.3,-21.4,-96.4,-17.1,-191.7,-50.1,999.7,20.24,3.9
0.69,-0.88532,-0.34098,-0.51223,1.0782,57.3,-5.1,-84.2,-24.3,-184.5,-50.7,999.7,20.24,3.9
0.7,-0.83028,-0.35474,-0.51427,1.0391,25.4,14,-59.5,-7.5,-172.5,-52.5,999.7,20.24,3.9
0.71,-0.80173,-0.44139,-0.45719,1.023,-20.6,29.3,-35.7,-14.7,-184.5,-46.5,999.7,20.24,3.9
0.72,-0.7946,-0.45566,-0.40928,1.0033,-53.4,24.2,-21.9,-17.1,-177.3,-45.9,999.7,20.24,3.9
0.73,-0.77676,-0.45362,-0.40367,0.98594,-46.6,15.1,-11.8,-31.5,-165.3,-51.3,999.8,20.24,3.9
0.74,-0.77268,-0.46126,-0.4159,0.99135,-41.4,14.4,3.6,-17.1,-174.9,-49.5,999.8,20.24,3.9
0.75,-0.82263,-0.39755,-0.44393,1.0158,-48.4,14.5,11.8,-31.5,-189.3,-48.3,999.7,20.24,3.9
0.76,-0.84302,-0.34047,-0.47248,1.0246,-31.5,22.3,1.9,-31.5,-174.9,-46.5,999.9,20.24,3.9
0.77,-0.74261,-0.3787,-0.46942,0.95668,16.7,31.7,3.4,-9.9,-170.1,-41.1,999.9,20.24,3.9
0.78,-0.75178,-0.42966,-0.43782,0.9703,42.1,24.9,19.3,-17.1,-182.1,-42.3,999.7,20.24,3.9
0.79,-0.75331,-0.45056,-0.42253,0.97417,38.7,14.1,19.8,-21.9,-172.5,-42.9,999.9,20.24,3.9
0.8,-0.77217,-0.43221,-0.41131,0.97583,36.6,9,9.6,-21.9,-182.1,-43.5,999.8,20.24,3.9
0.81,-0.79867,-0.43476,-0.42406,1.0034,37.4,8.7,4.3,-14.7,-172.5,-49.5,999.7,20.24,3.89
0.82,-0.77523,-0.49694,-0.4159,1.0104,17.8,10.1,2.4,-19.5,-182.1,-49.5,999.9,20.24,3.89
0.83,-0.75331,-0.49949,-0.39297,0.98559,-14.7,10.6,3.7,-17.1,-186.9,-45.3,999.8,20.24,3.89
0.84,-0.73802,-0.43629,-0.37717,0.93663,-16.9,12.9,6.5,-21.9,-165.3,-44.1,999.8,20.24,3.89
0.85,-0.76555,-0.43017,-0.41081,0.96947,1.7,17.2,10.3,-31.5,-167.7,-42.9,999.9,20.24,3.89
0.86,-0.78084,-0.45107,-0.40214,0.98736,7.1,22.1,8,-21.9,-172.5,-45.9,999.8,20.24,3.89
0.87,-0.79511,-0.42813,-0.43833,1.0038,5.7,22.3,-0.7,-24.3,-198.9,-43.5,999.8,20.24,3.89
0.88,-0.80275,-0.43884,-0.45566,1.0221,13,18.2,-7.3,-33.9,-189.3,-47.7,999.9,20.24,3.89
0.89,-0.7844,-0.45566,-0.43935,1.0079,8.5,15.7,-12.1,-14.7,-179.7,-38.7,999.8,20.24,3.89
0.9,-0.75025,-0.41182,-0.41641,0.95178,-4.8,13.9,-11.9,-38.7,-179.7,-39.3,999.7,20.24,3.89
0.91,-0.74924,-0.42304,-0.42457,0.95946,-15.5,7,-5.1,-21.9,-189.3,-45.9,999.8,20.24,3.89
0.92,-0.74516,-0.45107,-0.46789,0.98876,-18.3,3.9,1.4,-21.9,-179.7,-38.1,999.7,20.24,3.89
0.93,-0.75586,-0.47859,-0.47299,1.012,-15.1,6.9,2.7,-33.9,-179.7,-46.5,999.8,20.24,3.89
0.94,-0.75637,-0.46024,-0.44393,0.99045,-24.9,7.8,3.2,-38.7,-184.5,-50.7,999.8,20.24,3.89
0.95,-0.74873,-0.3945,-0.42661,0.94774,-26.4,2.4,5.9,-26.7,-174.9,-47.1,999.8,20.24,3.89
0.96,-0.72681,-0.40673,-0.46279,0.95282,-12,-3.8,9.3,-24.3,-189.3,-39.3,999.8,20.24,3.89
0.97,-0.74363,-0.43272,-0.48012,0.98527,-2.3,-4,14.4,-33.9,-174.9,-45.3,999.8,20.24,3.89
0.98,-0.74363,-0.43272,-0.48012,0.98527,-2.3,-4,14.4,-33.9,-174.9,-45.3,999.8,20.24,3.89
0.99,-0.7579,-0.42202,-0.46024,0.98201,-0.3,5.8,4.9,-31.5,-186.9,-46.5,999.8,20.24,3.89
1,-0.7579,-0.42202,-0.46024,0.98201,-0.3,5.8,4.9,-31.5,-186.9,-46.5,999.9,20.29,3.89
1.01,-0.75382,-0.3578,-0.41998,0.93416,10.8,4.3,4.3,-31.5,-196.5,-41.1,1000,20.29,3.89
1.02,-0.76045,-0.39246,-0.4475,0.96569,29.5,3.6,6.7,-29.1,-189.3,-40.5,1000,20.29,3.89
1.03,-0.75076,-0.45515,-0.43221,0.97858,34.6,7.9,4,-26.7,-179.7,-44.7,1000,20.29,3.89
1.04,-0.72375,-0.50153,-0.42151,0.97623,8.7,13,-0.7,-21.9,-170.1,-41.7,1000,20.29,3.89
1.05,-0.72324,-0.49286,-0.40061,0.96254,-18.5,12,-5.1,-14.7,-189.3,-42.3,1000,20.29,3.89
1.06,-0.72987,-0.45362,-0.40265,0.949,-33.4,5.3,-7.6,-24.3,-174.9,-43.5,999.9,20.29,3.89
1.07,-0.73853,-0.40214,-0.4419,0.94996,-39.3,-0.9,-3.3,-21.9,-189.3,-42.9,999.9,20.29,3.89
1.08,-0.77931,-0.39653,-0.49898,1.0067,-31.4,-1,3.1,-45.9,-189.3,-46.5,999.8,20.29,3.89
1.09,-0.7686,-0.4159,-0.49949,1.0066,-11.7,3.5,3.1,-26.7,-172.5,-41.1,999.9,20.29,3.89
1.1,-0.763,-0.39297,-0.47095,0.97897,4.5,5.4,1.8,-24.3,-189.3,-48.3,999.9,20.29,3.89
1.11,-0.76758,-0.40265,-0.46177,0.98211,17.2,6,2.6,-33.9,-184.5,-45.9,999.9,20.29,3.89
1.12,-0.77778,-0.45617,-0.46942,1.0166,16.8,4.9,1.8,-36.3,-179.7,-36.3,999.8,20.29,3.89
1.13,-0.76962,-0.4368,-0.4684,1.0013,2.6,3.9,3.4,-24.3,-182.1,-40.5,999.9,20.29,3.89
1.14,-0.78186,-0.43629,-0.4684,1.0105,-11.7,2.1,10,-26.7,-184.5,-38.7,999.9,20.29,3.89
1.15,-0.76453,-0.42864,-0.43068,0.97659,-26.9,2.1,14.8,-41.1,-186.9,-40.5,999.9,20.29,3.89
1.16,-0.74975,-0.41692,-0.43731,0.9629,-39.6,1.7,15.4,-36.3,-184.5,-43.5,999.9,20.29,3.89
1.17,-0.7579,-0.42304,-0.46381,0.98412,-32.2,3.7,10.2,-29.1,-172.5,-44.1,999.9,20.29,3.89
1.18,-0.74414,-0.42864,-0.47248,0.98016,-15.4,8.2,2.4,-41.1,-196.5,-43.5,999.9,20.29,3.89
1.19,-0.71865,-0.40571,-0.44444,0.93733,-12.3,8.3,-0.7,-31.5,-196.5,-38.7,999.8,20.29,3.89
1.2,-0.74261,-0.40163,-0.46636,0.9645,-16.5,3.6,-0.8,-33.9,-194.1,-47.7,999.9,20.29,3.89
1.21,-0.74618,-0.39297,-0.4842,0.97245,-5.6,0.8,-1.4,-36.3,-198.9,-40.5,999.9,20.29,3.89
1.22,-0.74822,-0.4001,-0.51019,0.99005,1.9,1.2,-2.6,-36.3,-191.7,-48.3,999.8,20.29,3.89
1.23,-0.76606,-0.40163,-0.50561,1.0019,-5.6,4.3,-3.3,-38.7,-189.3,-40.5,1000,20.29,3.89
1.24,-0.76045,-0.39144,-0.46126,0.97174,-7.6,7.1,-3.6,-21.9,-203.7,-43.5,999.9,20.29,3.89
1.25,-0.73904,-0.38532,-0.46075,0.95234,-5.9,4.5,2.6,-41.1,-191.7,-39.3,999.9,20.29,3.89
1.26,-0.75433,-0.39551,-0.48114,0.97824,-3.4,1.6,12.4,-41.1,-196.5,-44.1,999.8,20.29,3.89
1.27,-0.75178,-0.41743,-0.49032,0.98987,1,5.1,13.7,-33.9,-191.7,-40.5,999.8,20.29,3.89
1.28,-0.73751,-0.40979,-0.47503,0.96825,0.3,8.7,9.5,-45.9,-182.1,-42.9,999.8,20.29,3.89
1.29,-0.72987,-0.40928,-0.47655,0.96297,-7.3,9.2,7.1,-48.3,-186.9,-47.7,999.9,20.29,3.89
1.3,-0.70897,-0.39551,-0.49134,0.94894,-7.9,6.5,2.8,-26.7,-198.9,-43.5,999.9,20.29,3.89
1.31,-0.73904,-0.3945,-0.48981,0.97042,-5.6,0.2,0,-31.5,-198.9,-35.7,999.9,20.29,3.89
1.32,-0.74465,-0.41437,-0.49847,0.98726,-7.1,-5.6,-2.3,-29.1,-201.3,-45.3,999.8,20.29,3.89
1.33,-0.74822,-0.42202,-0.49694,0.99241,-15.6,-9.1,-5.4,-26.7,-203.7,-39.3,999.8,20.29,3.89
1.34,-0.74771,-0.38226,-0.4893,0.97191,-32.3,-9.9,-4,-26.7,-206.1,-36.9,999.9,20.29,3.89
1.35,-0.7528,-0.38379,-0.49592,0.97977,-36.9,-6.4,0,-29.1,-203.7,-42.9,999.9,20.29,3.89
1.36,-0.71662,-0.42661,-0.45515,0.9501,-31.7,0.8,2,-31.5,-191.7,-35.1,999.8,20.29,3.89
1.37,-0.72375,-0.40571,-0.47299,0.95506,-35.3,4.9,5.1,-41.1,-194.1,-41.1,999.8,20.29,3.89
1.38,-0.74924,-0.37003,-0.51325,0.98066,-41,5.7,12.2,-38.7,-196.5,-42.9,999.9,20.29,3.89
1.39,-0.74924,-0.36391,-0.50051,0.97175,-27,4.5,12.6,-31.5,-208.5,-41.7,999.9,20.29,3.89
1.4,-0.76045,-0.36035,-0.50102,0.97936,-15.4,1.4,6,-38.7,-198.9,-39.3,999.8,20.29,3.89
1.41,-0.75484,-0.32263,-0.52701,0.97551,-14.3,1.7,-2,-24.3,-196.5,-41.7,999.8,20.29,3.89
1.42,-0.76045,-0.32467,-0.52752,0.9808,4.5,3.8,-6,-36.3,-196.5,-43.5,999.9,20.29,3.89
1.43,-0.76147,-0.33894,-0.5051,0.9746,29.5,3.4,-5.3,-33.9,-201.3,-43.5,999.9,20.29,3.89
1.44,-0.75943,-0.38481,-0.50204,0.98836,31,3.2,-6.2,-24.3,-218.1,-40.5,999.9,20.29,3.89
1.45,-0.74771,-0.37156,-0.51478,0.98088,16.5,8.1,-12.7,-36.3,-191.7,-39.9,999.8,20.29,3.89
1.46,-0.76962,-0.33894,-0.50765,0.98229,8.9,14.5,-12.6,-38.7,-201.3,-36.9,999.9,20.29,3.89
1.47,-0.75739,-0.35117,-0.50612,0.97628,12.2,12.8,-6,-36.3,-196.5,-42.3,999.8,20.29,3.89
1.48,-0.73598,-0.43782,-0.50561,0.99448,20.5,4.5,-2.9,-29.1,-196.5,-45.9,999.8,20.29,3.89
1.49,-0.73344,-0.40724,-0.49949,0.97635,11.9,-2.8,-0.6,-38.7,-186.9,-36.3,999.8,20.29,3.89
1.5,-0.71458,-0.37003,-0.53619,0.96697,3.5,-5,6.1,-41.1,-201.3,-41.7,999.9,20.31,3.89
1.51,-0.72273,-0.4001,-0.51937,0.97579,18.6,-5.8,10.1,-29.1,-203.7,-48.3,999.9,20.31,3.89
1.52,-0.75076,-0.40265,-0.4949,0.98524,27.4,-8.1,8.8,-36.3,-203.7,-40.5,999.9,20.31,3.89
1.53,-0.72987,-0.35066,-0.50968,0.95679,24.6,-13.6,5,-29.1,-198.9,-40.5,1000,20.31,3.89
1.54,-0.66361,-0.36544,-0.54842,0.93525,38.5,-26.4,1.2,-36.3,-208.5,-35.7,1000,20.31,3.89
1.55,-0.59531,-0.36952,-0.54179,0.88571,65.5,-40.2,5.1,-43.5,-184.5,-42.9,1000.1,20.31,3.89
1.56,-0.54027,-0.40928,-0.48981,0.83624,100.6,-53.4,21.9,-31.5,-189.3,-42.9,1000.1,20.31,3.89
1.57,-0.5525,-0.46381,-0.38991,0.82,141.8,-66.1,41.8,14.1,-177.3,-41.7,1000,20.31,3.89
1.58,-0.52446,-0.58002,-0.263,0.82502,147.4,-69.6,61.5,-24.3,-184.5,-49.5,1000,20.31,3.89
1.59,-0.46942,-0.57543,-0.19878,0.76876,111,-64.7,74.9,-17.1,-191.7,-46.5,1000.1,20.31,3.89
1.6,-0.44546,-0.51427,-0.19011,0.70644,120.5,-67.5,71.9,-29.1,-177.3,-43.5,1000.1,20.31,3.89
1.61,-0.46789,-0.50357,-0.1631,0.70647,169.6,-81.7,56.2,4.5,-184.5,-48.9,1000.1,20.31,3.89
1.62,-0.49847,-0.48063,-0.20591,0.72241,189.3,-95.9,41.5,-21.9,-198.9,-47.1,1000.2,20.31,3.89
1.63,-0.50917,-0.42813,-0.29205,0.72653,192.8,-99.8,31.2,-5.1,-162.9,-51.3,1000.1,20.31,3.89
1.64,-0.38328,-0.45209,-0.2579,0.64638,210.4,-91.6,18.7,-14.7,-167.7,-51.9,1000.1,20.31,3.89
1.65,-0.81753,0.72324,-1.1376,1.5766,211.4,-17.9,82.6,-2.7,-162.9,-51.9,1000.2,20.31,3.89
1.66,-0.39551,-0.77268,0.15138,0.88113,225.4,85.8,201.1,-7.5,-201.3,-52.5,999.8,20.31,3.89
1.67,-1.0076,-0.72885,0.23751,1.2661,145.1,30.3,150.1,-7.5,-165.3,-45.9,999.6,20.31,3.89
1.68,-1.2283,-0.11519,-0.27982,1.2651,144,3.5,155.9,-9.9,-167.7,-45.3,999.4,20.31,3.89
1.69,-1.0158,-0.40265,0.06473,1.0946,192.9,13.8,215.1,-12.3,-184.5,-47.1,999.4,20.31,3.89
1.7,-1.0856,-0.27829,-0.23955,1.146,95.7,-17.1,207.9,-9.9,-177.3,-47.7,999.4,20.31,3.89
1.71,-1.1203,-0.32875,-0.20744,1.1858,15.2,-35.4,202.1,-14.7,-189.3,-43.5,999.6,20.31,3.89
1.72,-1.1993,-0.16972,-0.26758,1.2404,48.3,-37.1,196.7,-7.5,-184.5,-46.5,999.4,20.31,3.89
1.73,-1.237,-0.091233,0.018349,1.2405,49,-49.4,196.4,-14.7,-208.5,-47.1,999.4,20.31,3.89
1.74,-1.0882,-0.11876,-0.27472,1.1286,-25.9,-83.4,201.6,-36.3,-220.5,-51.9,999.5,20.31,3.89
1.75,-1.024,0.01682,-0.17737,1.0393,-151.7,-117,189.3,-12.3,-230.1,-47.7,999.6,20.31,3.89
1.76,-0.9842,0.0030581,-0.184,1.0013,-168.6,-117.4,169.9,-2.7,-239.7,-47.1,999.6,20.31,3.89
1.77,-1.1769,0.049949,-0.3527,1.2296,-78.6,-96.9,159.6,-2.7,-251.7,-51.9,999.5,20.31,3.89
1.78,-1.1009,0.0061162,-0.31244,1.1444,9.4,-68.4,122.6,-14.7,-258.9,-58.5,999.6,20.31,3.89
1.79,-0.90775,-0.16412,-0.083588,0.92624,83.9,-33.5,84.2,-12.3,-258.9,-54.9,999.8,20.31,3.89
1.8,-1.1371,-0.059633,-0.2421,1.1641,106.5,-15.5,82.7,-9.9,-256.5,-51.9,999.5,20.31,3.89
1.81,-1.159,0.042304,-0.10805,1.1648,33.8,-32,65.7,4.5,-266.1,-55.5,999.5,20.31,3.89
1.82,-1.5204,0.074924,-0.038736,1.5227,-20.8,-60.3,61.5,-2.7,-258.9,-56.1,999.1,20.31,3.89
1.83,-1.5775,-0.12181,-0.14271,1.5886,-37.3,-53.9,61.7,-12.3,-268.5,-63.9,999.2,20.31,3.89
1.84,-1.0775,-0.051478,-0.022426,1.0789,-72.2,-39.5,58,-12.3,-275.7,-59.1,999.7,20.31,3.89
1.85,-0.93578,0.065749,-0.0086646,0.93813,-128.6,-41.8,68.8,-14.7,-280.5,-53.7,999.7,20.31,3.89
1.86,-0.95362,0.0030581,-0.077982,0.95681,-155.4,-35.2,59.5,-21.9,-287.7,-54.3,999.6,20.31,3.89
1.87,-0.96687,0.1157,0.0020387,0.97377,-172.6,-33.2,42.4,-14.7,-292.5,-62.7,999.7,20.31,3.89
1.88,-0.97961,0.18043,0.055556,0.99764,-147.8,-32.3,31.6,-21.9,-285.3,-59.7,999.6,20.31,3.89
1.89,-0.97961,0.18043,0.055556,0.99764,-147.8,-32.3,31.6,-21.9,-285.3,-59.7,999.7,20.31,3.89
1.9,-0.85015,0.22171,0.11162,0.88565,-103.2,-29.6,40.8,-21.9,-294.9,-59.7,999.9,20.31,3.89
1.91,-0.77217,0.25076,0.15545,0.82662,-62,-21.8,50.1,-17.1,-311.7,-62.1,999.7,20.31,3.89
1.92,-0.9842,0.22783,0.074924,1.013,-58.9,-26.1,28.9,-24.3,-314.1,-57.9,999.6,20.31,3.89
1.93,-1.0005,0.12946,0.061672,1.0107,-46.5,-37.9,11.8,-17.1,-323.7,-64.5,999.6,20.31,3.89
1.94,-1.0387,0.092253,0.011723,1.0429,-34.9,-39.8,10.5,-9.9,-309.3,-64.5,999.5,20.31,3.89
1.95,-1.1509,-0.065749,-0.18807,1.168,5.4,-25.8,6,-12.3,-304.5,-64.5,999.6,20.31,3.89
1.96,-1.0657,0.0025484,-0.085117,1.0691,-11.7,-6.4,-4.8,-19.5,-311.7,-68.1,999.6,20.31,3.89
1.97,-1.0341,0.012742,-0.023445,1.0345,-42.8,1.7,-5.5,-0.3,-311.7,-67.5,999.8,20.31,3.89
1.98,-0.91692,0.0015291,-0.018349,0.91711,-81,3,-4.5,-7.5,-328.5,-63.3,999.7,20.31,3.89
1.99,-0.93425,0.18451,0.093782,0.9569,-100.7,5.7,-3.2,-7.5,-318.9,-67.5,999.7,20.31,3.89
2,-0.93425,0.18451,0.093782,0.9569,-100.7,5.7,-3.2,-7.5,-318.9,-67.5,999.7,20.34,3.89
2.01,-0.9475,0.29867,0.1315,1.0021,-32.8,3.7,-5.5,-24.3,-311.7,-77.1,999.8,20.34,3.89
2.02,-1.0117,0.18654,0.054536,1.0302,52.3,5.6,-2.6,2.1,-306.9,-67.5,999.7,20.34,3.89
2.03,-1.1137,0.089195,-0.054536,1.1186,68.9,7.8,-0.4,-24.3,-318.9,-63.9,999.6,20.34,3.89
2.04,-1.0224,0.043833,-0.033129,1.0239,43.5,7.4,-8.7,-26.7,-311.7,-66.9,999.9,20.34,3.89
2.05,-0.9159,-0.0020387,0.011213,0.91597,30.9,7.9,-11.7,-12.3,-297.3,-71.7,999.7,20.34,3.89
2.06,-1.0377,-0.19572,-0.073904,1.0586,3.5,12.9,-9,-24.3,-304.5,-69.3,999.7,20.34,3.89
