Time (s),Accel_X (g),Accel_Y (g),Accel_Z (g),Accel_Mag (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s),Mag_X (mT),Mag_Y (mT),Mag_Z (mT),Pressure (mbar),P_Temp (C),Battery (V)
0,-0.71865,-0.48012,0.62232,1.065,101.5,48.9,-2.3,-33.9,12.3,-80.1,999.8,20.01,3.9
0.01,-0.71865,-0.48012,0.62232,1.065,101.5,48.9,-2.3,-33.9,12.3,-80.1,999.8,20.01,3.9
0.02,-0.81957,-0.20999,0.48573,0.97556,40.3,29.8,-6.3,-38.7,0.3,-71.1,1000.5,20.01,3.9
0.03,-0.81397,-0.086137,0.38736,0.90554,-8.1,6.5,-4.2,-33.9,2.7,-74.1,1000.3,20.01,3.9
0.04,-0.76809,-0.28135,0.47146,0.94414,-25.5,1.2,2,-36.3,2.7,-71.1,1000.3,20.01,3.9
0.05,-0.75178,-0.5107,0.49388,1.0344,-22.3,-34.6,-18.9,-31.5,2.7,-70.5,1000.3,20.01,3.9
0.06,-0.83028,-0.40469,0.26504,0.96092,-43.4,-50.1,-31.7,-50.7,14.7,-69.9,1000.1,20.01,3.9
0.07,-0.93884,-0.579,0.17329,1.1166,-40.6,-43.5,-33.4,-36.3,26.7,-72.9,999.9,20.01,3.9
0.08,-0.93884,-0.579,0.17329,1.1166,-40.6,-43.5,-33.4,-36.3,26.7,-72.9,999.8,20.01,3.9
0.09,-1.0387,-0.69827,0.11519,1.2569,-27.6,-28.9,-30.8,-21.9,7.5,-69.9,999.8,20.01,3.9
0.1,-1.0306,-0.67176,0.1055,1.2347,-26.3,-7.3,-23.9,-41.1,19.5,-66.3,999.7,20.01,3.9
0.11,-0.99439,-0.5367,0.24567,1.1564,-44.9,16.6,-35.2,-36.3,19.5,-75.3,999.8,20.01,3.9
0.12,-0.84709,-0.44139,0.35219,1.0181,-30.1,33,-56.5,-41.1,17.1,-73.5,999.9,20.01,3.9
0.13,-0.69827,-0.46126,0.44954,0.94996,15.3,47.5,-69.3,-33.9,5.1,-77.1,999.9,20.01,3.9
0.14,-0.67737,-0.44648,0.50714,0.95675,-35.6,54,-71.2,-41.1,19.5,-65.7,999.8,20.01,3.9
0.15,-0.77064,-0.33843,0.40367,0.93347,-157.6,40.4,-63.5,-50.7,21.9,-69.9,999.7,20.01,3.9
0.16,-0.78389,-0.27829,0.342,0.89939,-166,13.6,-38.5,-45.9,29.1,-61.5,999.7,20.01,3.9
0.17,-0.7946,-0.26758,0.36901,0.91605,-136.5,-4.6,-16.4,-53.1,29.1,-66.3,999.8,20.01,3.9
0.18,-0.71305,-0.26555,0.33486,0.83131,-220.6,-21.4,-31,-50.7,9.9,-68.1,999.7,20.01,3.9
0.19,-0.76962,-0.35372,0.32467,0.90711,-329,-39.6,-72.3,-48.3,2.7,-62.7,999.6,20.01,3.9
0.2,-0.83078,-0.55352,0.15494,1.0102,-368.2,-36.6,-102.4,-48.3,9.9,-59.1,999.7,20.01,3.9
0.21,-0.71916,-0.84709,-0.033639,1.1117,-303.9,-25.2,-80.8,-48.3,7.5,-56.1,999.8,20.01,3.9
0.22,-0.5841,-0.8685,-0.18807,1.0634,-260.4,-26.8,-44.8,-57.9,17.1,-51.9,999.7,20.01,3.9
0.23,-0.66667,-0.78389,-0.10143,1.034,-247.9,-36.1,-36.2,-53.1,-9.3,-55.5,999.5,20.01,3.9
0.24,-0.88736,-0.58155,0.18247,1.0765,-264.3,-30.7,-58.1,-65.1,5.1,-59.7,999.5,20.01,3.9
0.25,-0.90724,-0.38022,0.20744,1.0053,-205.6,-7.6,-74.8,-60.3,-6.9,-59.1,999.6,20.01,3.9
0.26,-0.68909,-0.48573,0.10041,0.84904,-100.3,-6.4,-71.8,-57.9,-2.1,-55.5,999.6,20.01,3.9
0.27,-0.70693,-0.62793,0.060652,0.94749,-37.9,-31.5,-49.8,-60.3,-6.9,-53.1,999.6,20.01,3.9
0.28,-0.71611,-0.72783,0.1789,1.0366,31.1,-52.5,-13.2,-57.9,2.7,-48.3,999.7,20.01,3.9
0.29,-0.73751,-0.77778,0.16259,1.0841,17.7,-48.9,20.2,-69.9,0.3,-50.7,999.5,20.01,3.9
0.3,-0.87054,-0.7156,0.029052,1.1273,-2.5,-41.5,58.1,-50.7,0.3,-47.7,999.3,20.01,3.9
0.31,-0.91845,-0.66871,0.01631,1.1362,-58.5,-60.1,78.6,-60.3,-14.1,-57.9,999.6,20.01,3.9
0.32,-0.72018,-0.59939,0.046381,0.93813,-197.3,-85.5,58.4,-50.7,-14.1,-53.1,999.4,20.01,3.9
0.33,-0.82926,-0.61468,0.19011,1.0496,-263.9,-99.5,29.9,-43.5,-28.5,-51.9,999.6,20.01,3.9
0.34,-0.62334,-0.60194,0.16106,0.88138,-290.9,-99.9,8.6,-41.1,-38.1,-49.5,999.7,20.01,3.9
0.35,-0.39144,-0.62538,0.10754,0.74558,-335.1,-80.7,12,-53.1,-40.5,-58.5,999.8,20.01,3.9
0.36,-0.45566,-0.56065,0.085117,0.72746,-418.4,-65.1,54.2,-43.5,-33.3,-50.7,999.6,20.01,3.9
0.37,-0.67635,-0.59225,0.068298,0.9016,-431.2,-92.8,88.2,-36.3,-74.1,-49.5,999.4,20.01,3.9
0.38,-0.69215,-0.54536,0.06422,0.88353,-319.8,-149.7,72.7,-29.1,-76.5,-48.9,999.5,20.01,3.9
0.39,-0.70948,-0.579,-0.046381,0.91693,-262.8,-156.6,66.2,-41.1,-93.3,-43.5,999.5,20.01,3.9
0.4,-0.8318,-0.44139,-0.36595,1.0103,-186.8,-91.7,73.4,-21.9,-88.5,-49.5,999.5,20.01,3.9
0.41,-0.70285,-0.46432,-0.3369,0.90725,-79.3,7.9,81.4,-12.3,-107.7,-51.3,999.4,20.01,3.9
0.42,-0.67533,-0.61876,-0.071356,0.91871,-109,70.4,76.2,-29.1,-105.3,-45.9,999.4,20.01,3.9
0.43,-0.86799,-0.50204,-0.13099,1.0112,-196,77.5,65.8,-31.5,-114.9,-47.7,999.2,20.01,3.9
0.44,-0.97706,-0.25994,-0.37717,1.0791,-136.7,63.5,60.1,-12.3,-124.5,-44.1,999.3,20.01,3.9
0.45,-0.8104,-0.3318,-0.16972,0.89199,36.4,36.4,52.8,-19.5,-131.7,-47.1,999.5,20.01,3.9
0.46,-0.80428,-0.56779,-0.22681,1.0103,86.7,7.3,45.3,-36.3,-117.3,-39.3,999.2,20.01,3.9
0.47,-0.96942,-0.48369,-0.57951,1.2286,29.8,-10.9,40.2,-19.5,-124.5,-45.9,999.3,20.01,3.9
0.48,-0.92813,-0.53568,-0.63812,1.2472,3.8,0.7,17.6,-19.5,-131.7,-47.7,999.4,20.01,3.9
0.49,-0.75076,-0.90979,-0.44852,1.262,-173.7,34.4,11.7,-41.1,-129.3,-43.5,999.6,20.01,3.9
0.5,-0.22426,-0.69674,0.19164,0.75661,-553.7,73.5,36,-31.5,-134.1,-42.9,1000.1,20.24,3.9
0.51,-0.79664,-0.32467,0.16463,0.87587,-779.2,90.9,26.3,-29.1,-170.1,-35.7,999.8,20.24,3.9
0.52,-1.1631,-0.11927,0.10296,1.1737,-666,61.8,-16.6,-29.1,-189.3,-43.5,999.6,20.24,3.9
0.53,-0.97401,-0.33486,-0.2263,1.0545,-363.4,19.3,-66.5,-33.9,-196.5,-36.9,999.9,20.24,3.9
0.54,-0.69572,-0.41081,-0.38073,0.89317,-175.2,-35.1,-46,-26.7,-210.9,-41.7,999.9,20.24,3.9
0.55,-0.86493,-0.31855,-0.39755,1.0038,-113.4,-58.7,-14.7,-31.5,-222.9,-47.1,999.8,20.24,3.9
0.56,-0.88226,-0.28848,-0.56116,1.0847,-95.9,-57.1,-14,-31.5,-206.1,-45.3,999.8,20.24,3.9
0.57,-0.89755,-0.22783,-0.50459,1.0546,-56.2,-53.7,-24.8,-24.3,-203.7,-44.7,999.6,20.24,3.9
0.58,-0.94495,-0.22732,-0.49541,1.0909,53.6,-56.9,-32.8,-17.1,-225.3,-43.5,999.7,20.24,3.9
0.59,-0.94699,-0.29715,-0.5265,1.1235,144.6,-66.8,-34.9,-26.7,-215.7,-47.7,999.7,20.24,3.9
0.6,-0.95872,-0.34353,-0.43782,1.1085,123.1,-63.5,-41.5,-7.5,-206.1,-44.1,999.8,20.24,3.9
0.61,-0.79918,-0.46381,-0.35678,0.99051,29.6,-38.5,-43.5,-21.9,-210.9,-45.3,999.9,20.24,3.9
0.62,-0.76962,-0.4159,-0.41947,0.97018,-54,-7.2,-26.3,-26.7,-206.1,-45.9,999.7,20.24,3.9
0.63,-0.7788,-0.33741,-0.39653,0.93681,-72.4,16.9,-21.8,-12.3,-201.3,-52.5,1000,20.24,3.9
0.64,-0.60245,-0.45362,-0.22477,0.78691,-38.4,27.1,-26.4,-19.5,-191.7,-49.5,999.8,20.24,3.9
0.65,-0.76351,-0.45005,-0.22426,0.91421,-30.9,13.4,-43,-17.1,-194.1,-46.5,999.8,20.24,3.9
0.66,-0.73802,-0.40826,-0.38073,0.92537,1.8,-7.1,-70.7,-12.3,-194.1,-42.3,999.8,20.24,3.9
0.67,-0.73802,-0.45923,-0.40673,0.95968,61.8,-23.1,-90.3,-19.5,-189.3,-45.3,999.9,20.24,3.9
