time,pres,P1,P2,P3,accmag,magx,magy,magz,absaccx,absaccy,absaccz
0.0,1000.0399576822916,1000.0669555664062,1000.10986328125,999.9430541992188,-0.23661529636262912,-23.1875,27.25,-24.0625,0.046130127895500195,-0.1334084725279232,-0.23765604072878688
0.01,999.9832967122396,999.9869384765625,999.9998779296875,999.9630737304688,-0.24697773315889826,-23.1875,27.25,-24.0625,0.008759741190117243,-0.10286379122924338,-0.24753498393395823
0.02,1000.0666300455729,1000.2269287109375,1000.0299072265625,999.9430541992188,-0.1306350073352185,-23.1875,27.25,-24.0625,0.06627134731399398,-0.16874882732333063,-0.13233299792627307
0.031,999.9966227213541,999.9469604492188,1000.0698852539062,999.9730224609375,-0.12691203253039873,-23.1875,27.25,-24.0625,-0.009131060326200258,-0.06506359352432134,-0.12713493131864517
0.041,1000.0966389973959,1000.14697265625,1000.14990234375,999.9930419921875,-0.15953922405280885,-23.1875,27.25,-24.0625,-0.058915062362006054,-0.008404975454505914,-0.1597227210867267
0.051,1000.0299682617188,1000.0069580078125,1000.0899047851562,999.9930419921875,-0.5229441489121136,-22.875,28.375,-24.375,-0.12064942836509829,-0.0765122960930027,-0.5240430775709779
0.062,1000.0199584960938,999.9769287109375,1000.0798950195312,1000.0030517578125,-0.0997733953656681,-22.875,28.375,-24.375,0.05069434286334906,-0.17661673054881066,-0.1015120988157836
0.072,1000.0266316731771,1000.0669555664062,1000.0498657226562,999.9630737304688,-0.09890292459556349,-22.875,28.375,-24.375,0.17383042889914524,0.09909491099068668,-0.10096453871276267
0.082,1000.0433146158854,1000.0969848632812,1000.0198974609375,1000.0130615234375,-0.2264251871075995,-22.875,28.375,-24.375,0.1966683740213533,0.23656418384993372,-0.23136412990425725
0.092,999.9966227213541,1000.0569458007812,999.9898681640625,999.9430541992188,-0.3585398897081351,-22.875,28.375,-24.375,-0.15041407295530518,0.08461306424019921,-0.3601156381437569
0.103,1000.0866292317709,1000.126953125,1000.0498657226562,1000.0830688476562,-0.3219284527309654,-23.5625,27.5625,-24.0625,-0.27914545737327745,-0.020331551915282242,-0.32605745864512414
0.113,1000.0732828776041,1000.136962890625,1000.10986328125,999.9730224609375,-0.1897193762158178,-23.5625,27.5625,-24.0625,-0.13124449413855266,0.04522145576898806,-0.19072096344773648
0.123,1000.0366414388021,999.9469604492188,1000.0999145507812,1000.0630493164062,-0.025512530612305184,-23.5625,27.5625,-24.0625,0.09009344667936348,0.15697741634587348,-0.02718668785775158
0.134,1000.0199584960938,1000.0669555664062,1000.0698852539062,999.9230346679688,-0.06539078832999223,-23.5625,27.5625,-24.0625,0.06458392942732938,0.19390219496373473,-0.06753421648236291
0.144,1000.0899658203125,1000.0969848632812,1000.139892578125,1000.0330200195312,-0.12363839350011752,-24.25,26.5625,-24.375,-0.06617947686897607,0.1698510476512347,-0.12535379735903085
0.154,1000.0599568684896,1000.0669555664062,1000.10986328125,1000.0030517578125,-0.17247947793021012,-24.25,26.5625,-24.375,-0.23942760835142307,0.07460672181670192,-0.17574288952514827
0.164,1000.0432942708334,1000.1969604492188,999.9298706054688,1000.0030517578125,-0.08821488187348159,-24.25,26.5625,-24.375,-0.16665397294202178,-0.06706076832982033,-0.08987473384834033
0.174,999.9599609375,999.9369506835938,999.9898681640625,999.9530639648438,-0.0028902554662710855,-24.25,26.5625,-24.375,-0.06450437946578913,-0.049790558210632385,-0.003228786870202782
0.185,999.9632975260416,999.9669799804688,999.9998779296875,999.9230346679688,0.07855377393159912,-24.25,26.5625,-24.375,-0.02113703061559824,-0.13034553003226312,0.07767207226626383
0.195,999.9832967122396,999.9969482421875,1000.0098876953125,999.9430541992188,0.10934455630880358,-24.6875,27.0,-24.375,-0.19663287429125353,-0.29512002772861967,0.10300338488565686
0.205,1000.0266520182291,1000.0769653320312,1000.0399169921875,999.9630737304688,0.11591538861945416,-24.6875,27.0,-24.375,-0.1799239445819394,-0.29753692852647795,0.10982335792132858
0.215,1000.1266479492188,1000.2169799804688,1000.0899047851562,1000.0730590820312,0.005100465173885738,-24.6875,27.0,-24.375,-0.0837472934343153,-0.14343829303998246,0.003694971232231836
0.225,999.9933064778646,1000.0569458007812,999.9598999023438,999.9630737304688,-0.13619525199832694,-24.6875,27.0,-24.375,-0.10860148740992459,-0.019163176740870647,-0.13682385190628032
0.236,1000.0199584960938,999.9469604492188,1000.1298828125,999.9830322265625,-0.13751297587547207,-24.6875,27.0,-24.375,-0.16229456117803442,-0.17452950044227222,-0.14044958848940148
0.246,999.9966227213541,1000.0569458007812,999.9898681640625,999.9430541992188,-0.1258843765255886,-23.5625,26.5625,-23.6875,-0.0938317824617263,-0.1259255978856484,-0.12715776493191022
0.256,999.9866536458334,1000.0269775390625,1000.0299072265625,999.903076171875,-0.056518808402652,-23.5625,26.5625,-23.6875,-0.08145486279219405,-0.1518993481492208,-0.058041886461849046
0.266,1000.0533040364584,1000.0169677734375,1000.0899047851562,1000.0530395507812,-0.02140422117824059,-23.5625,26.5625,-23.6875,-0.10912728408388017,-0.22223019724799764,-0.02453566270528107
0.276,1000.0333048502604,1000.0669555664062,1000.0198974609375,1000.0130615234375,-0.04204726327931674,-23.5625,26.5625,-23.6875,-0.19121578389976523,-0.38441988943768535,-0.05148789315700064
0.287,999.9766235351562,999.9969482421875,999.9998779296875,999.9330444335938,-0.060122813856459345,-23.5625,26.5625,-23.6875,-0.22063048830406728,-0.39835512974666076,-0.07076283669416306
0.297,1000.0232950846354,1000.0269775390625,1000.0598754882812,999.9830322265625,-0.03523143308610521,-23.875,27.0,-23.6875,-0.17057380132454125,-0.372455033775392,-0.04381945882398952
0.307,999.9866333007812,999.9269409179688,1000.0299072265625,1000.0030517578125,-0.038643870886742704,-23.875,27.0,-23.6875,-0.1788504247169882,-0.3701541259479033,-0.04729550531301285
0.317,999.969970703125,1000.0169677734375,999.9498901367188,999.9430541992188,-0.1053520316795602,-23.875,27.0,-23.6875,-0.1231423837094523,-0.28737180654098826,-0.11038941053993767
0.328,1000.066650390625,1000.0869750976562,1000.0999145507812,1000.0130615234375,-0.16351351266726866,-23.875,27.0,-23.6875,-0.1170674102076521,-0.2253927624386487,-0.1668576244877258
0.338,999.9932861328125,999.9769287109375,1000.0498657226562,999.9530639648438,-0.14827131045928255,-23.875,27.0,-23.6875,-0.12783919173977343,-0.27132255015009044,-0.15292785130350417
0.348,1000.046630859375,1000.0069580078125,1000.119873046875,1000.0130615234375,-0.19999967049113465,-23.875,28.375,-25.5625,-0.12713691301840035,-0.2426025174552917,-0.20390367750598593
0.358,1000.0432942708334,1000.0769653320312,1000.0098876953125,1000.0430297851562,-0.24959196204334155,-23.875,28.375,-25.5625,-0.07022447873672455,-0.15940416401801327,-0.25117890703533696
0.369,1000.0299682617188,999.9569702148438,1000.0698852539062,1000.0630493164062,-0.21522553125032218,-23.875,28.375,-25.5625,-0.041177066398416784,-0.15110034645712567,-0.2165037530275722
0.379,999.9899698893229,999.9969482421875,1000.0098876953125,999.9630737304688,-0.17755458341331654,-23.875,28.375,-25.5625,-0.07550283531713231,-0.08607126565314727,-0.1782350650252198
0.389,999.9966430664062,1000.0269775390625,1000.0698852539062,999.89306640625,-0.09513508692808159,-23.875,28.375,-25.5625,-0.129066096105519,-0.10203942802398136,-0.09652841785180932
0.399,1000.0133056640625,1000.0369873046875,999.9598999023438,1000.0430297851562,-0.09562918722938285,-23.875,27.25,-25.1875,-0.1403279411320184,-0.09323871717211896,-0.0970902970033034
0.41,1000.0032958984375,1000.136962890625,999.8798828125,999.9930419921875,-0.10142666447625004,-23.875,27.25,-25.1875,-0.1315240258489334,-0.10590038493283371,-0.10289524367134817
0.42,1000.0499674479166,1000.136962890625,1000.0299072265625,999.9830322265625,-0.10257520091271743,-23.875,27.25,-25.1875,-0.08262299758517822,-0.10610407357610252,-0.10350673024622381
0.431,1000.0266316731771,999.9269409179688,1000.1298828125,1000.0230712890625,-0.0732349100432792,-23.875,27.25,-25.1875,-0.03513845798316262,-0.07894663760626863,-0.07361837569104068
0.441,1000.0466105143229,1000.116943359375,1000.0498657226562,999.9730224609375,-0.0750060574354876,-23.875,27.25,-25.1875,-0.00674431876120174,-0.0959843859396392,-0.07548159518982622
0.451,1000.0766194661459,1000.0669555664062,1000.1298828125,1000.0330200195312,-0.13191157659360186,-23.1875,27.25,-24.75,-0.003930242890748392,-0.05015640019574774,-0.13204234251961644
0.462,1000.046630859375,1000.10693359375,1000.0098876953125,1000.0230712890625,-0.1813444604793677,-23.1875,27.25,-24.75,-0.04899657361330201,0.023571775071447254,-0.18149797705087067
0.472,1000.1199747721354,1000.0969848632812,1000.14990234375,1000.113037109375,-0.09094689648665089,-23.1875,27.25,-24.75,-0.05815086538576253,0.046700284302869655,-0.09123306230603312
0.482,1000.0099690755209,1000.126953125,1000.0198974609375,999.883056640625,-0.10986609338003284,-23.1875,27.25,-24.75,-0.05887932495273729,0.02651487116690676,-0.11008103162410698
0.493,1000.0032958984375,1000.0469360351562,999.9398803710938,1000.0230712890625,-0.14604148012064577,-23.1875,27.25,-24.75,-0.007555627495436257,0.1013313224855632,-0.14657570270635212
0.503,999.9766235351562,999.89697265625,1000.0498657226562,999.9830322265625,-0.15401207402888417,-24.6875,27.5625,-25.1875,-0.028175593643699814,0.08241901564360443,-0.15440493453235504
0.513,999.9899698893229,1000.0169677734375,1000.0098876953125,999.9430541992188,-0.08182970531407285,-24.6875,27.5625,-25.1875,-0.029988881392941646,0.10965920289835651,-0.0824940088107784
0.524,999.9666341145834,999.9569702148438,999.9198608398438,1000.0230712890625,0.05700014492796335,-24.6875,27.5625,-25.1875,-0.0068694657302939,0.08792762110657315,0.056605971857576876
0.534,1000.0232950846354,999.9969482421875,999.9799194335938,1000.093017578125,0.5474614955454431,-24.6875,27.5625,-25.1875,-0.21843072609881875,0.3188407155100028,0.540248173243743
0.544,1000.0966186523438,1000.2269287109375,1000.0798950195312,999.9830322265625,0.6736252510614662,-24.25,27.0,-23.375,-0.3761732951200569,0.18791377648545082,0.665188803517534
0.555,1000.0332845052084,1000.0069580078125,1000.10986328125,999.9830322265625,-0.07489842818063508,-24.25,27.0,-23.375,-0.2297852238438587,-0.027960170795954253,-0.07765086973386737
0.565,1000.0099690755209,999.9569702148438,1000.0299072265625,1000.0430297851562,0.4158009549310382,-24.25,27.0,-23.375,0.11838831711148301,0.058195927546035975,0.41495000526932024
0.575,1000.0032958984375,1000.0769653320312,1000.0498657226562,999.883056640625,0.6020170157202287,-24.25,27.0,-23.375,-0.5706352035189501,-0.1026763222294087,0.5858612617236254
0.585,1000.0133056640625,1000.0569458007812,999.9598999023438,1000.0230712890625,0.27899408605029663,-24.25,27.0,-23.375,-0.6132845229285027,0.0056787982982240415,0.26033522349400684
0.595,1000.0299682617188,1000.0469360351562,1000.0198974609375,1000.0230712890625,-0.014403973273411808,-23.1875,27.5625,-25.875,-0.31597142785144117,0.23223115688007168,-0.022256017581101517
0.606,999.969970703125,1000.0269775390625,999.9198608398438,999.9630737304688,-0.15622336946866078,-23.1875,27.5625,-25.875,0.16836576692510996,0.2146590426260968,-0.16007887617004535
0.616,1000.0433146158854,1000.0969848632812,1000.0399169921875,999.9930419921875,-0.6227809802352358,-23.1875,27.5625,-25.875,0.7333608866011809,0.014701366347336986,-0.6521094679528687
0.626,999.9532877604166,999.9569702148438,999.9898681640625,999.9130249023438,-0.8282744632643855,-23.1875,27.5625,-25.875,0.43456446456094966,0.24182382475955322,-0.8420532683803135
0.636,999.9933064778646,999.9969482421875,1000.0798950195312,999.903076171875,-0.7886811354787682,-23.1875,27.5625,-25.875,-0.15989004435954368,0.13433039350962628,-0.7910984829381302
0.646,1000.026611328125,999.9969482421875,1000.10986328125,999.9730224609375,-0.7259421346962824,-23.5625,28.375,-24.75,-0.7779468077405343,-0.11643224657113693,-0.7600635584292057
0.657,999.9999593098959,999.9269409179688,1000.10986328125,999.9630737304688,0.4493228912564007,-23.5625,28.375,-24.75,-0.40900869033866716,-0.5142528953640619,0.4282597172514979
0.667,999.9732869466146,999.9469604492188,999.9998779296875,999.9730224609375,0.6540959191417404,-23.5625,28.375,-24.75,-0.319154449953027,-0.7804520195456193,0.6200689588928956
0.677,1000.0699666341146,1000.136962890625,999.9998779296875,1000.0730590820312,0.26195586620112365,-23.5625,28.375,-24.75,-0.287833011098674,-0.714359305437593,0.2324667244238281
0.687,999.9832967122396,1000.0069580078125,999.9998779296875,999.9430541992188,-0.130800662986573,-23.5625,28.375,-24.75,-0.12402318724488781,-0.16342601260915268,-0.13297514764638585
0.697,1000.0133056640625,1000.0069580078125,1000.0399169921875,999.9930419921875,-0.0822766471961689,-22.0625,27.25,-25.5625,-0.07480711863414502,-0.1656395298419686,-0.08397465200504328
0.708,1000.0066324869791,1000.0769653320312,1000.0598754882812,999.883056640625,-0.27315057151078115,-22.0625,27.25,-25.5625,-0.1854736436437685,-0.122400934073845,-0.27573995736814005
