Time (s),Accel_X (g),Accel_Y (g),Accel_Z (g),Accel_Mag (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s),Mag_X (mT),Mag_Y (mT),Mag_Z (mT),Pressure (mbar),P_Temp (C),Battery (V)
0.45,-0.67635,0.036188,0.92508,1.1465,-93.5,57.5,-248.4,-26.7,-64.5,-113.1,999.4,21.7,3.92
0.46,-0.70744,0.057085,0.92559,1.1664,-117,66.7,-232.3,-29.1,-54.9,-110.7,999.4,21.7,3.92
0.47,-0.75076,0.06473,0.85525,1.1399,-119.5,74,-202.8,-17.1,-47.7,-110.7,999.4,21.7,3.92
0.48,-0.77064,0.090724,0.76555,1.09,-97.6,84.3,-164.5,-21.9,-30.9,-110.1,999.4,21.7,3.92
0.49,-0.77319,0.074924,0.68145,1.0333,-46.2,98.5,-127.4,-38.7,-28.5,-108.3,999.4,21.7,3.92
0.5,-0.78695,0.020387,0.63456,1.0111,4,111,-98.5,-5.1,-11.7,-108.3,999.9,21.93,3.92
0.51,-0.81957,-0.059633,0.684,1.0692,33.2,110.4,-78.7,-24.3,-6.9,-98.7,999.9,21.93,3.92
0.52,-0.84964,-0.1473,0.78389,1.1654,42.7,88.7,-62.4,-12.3,-11.7,-108.9,999.8,21.93,3.92
0.53,-0.82824,-0.23038,0.87054,1.2235,27.9,46.4,-47.9,-17.1,-18.9,-103.5,999.7,21.93,3.92
0.54,-0.69419,-0.17992,0.91845,1.1653,3.7,-3.2,-36.2,9.3,-23.7,-102.9,999.9,21.93,3.92
0.55,-0.56779,-0.099898,0.88634,1.0573,6.4,-50.6,-27.8,-17.1,-9.3,-104.1,1000,21.93,3.92
0.56,-0.51733,-0.075433,0.83537,0.98548,21.2,-81.8,-12.8,-0.3,-21.3,-105.9,1000,21.93,3.92
0.57,-0.46381,-0.083588,0.77217,0.90463,38.6,-90.3,8.9,-29.1,-23.7,-104.1,1000.1,21.93,3.92
0.58,-0.45056,-0.12181,0.72783,0.86463,45.9,-83.6,25.1,-14.7,-21.3,-107.7,1000,21.93,3.92
0.59,-0.48318,-0.15341,0.70183,0.86578,37.2,-69.6,30.5,-24.3,-11.7,-105.9,1000,21.93,3.92
0.6,-0.52243,-0.14322,0.65953,0.85348,32.1,-50.3,29.2,-29.1,-16.5,-104.1,1000,21.93,3.92
0.61,-0.5316,-0.12181,0.62793,0.83171,38.5,-29.2,26.4,-19.5,-21.3,-104.1,1000,21.93,3.92
0.62,-0.52548,-0.12589,0.59939,0.807,44.3,-9.5,24.2,-36.3,-14.1,-108.3,1000,21.93,3.92
0.63,-0.52701,-0.15291,0.58155,0.79958,42.6,7.2,20.6,-19.5,-38.1,-105.9,999.9,21.93,3.92
0.64,-0.52956,-0.1524,0.56983,0.79269,30.7,20.5,13.5,-29.1,-30.9,-111.9,999.9,21.93,3.92
0.65,-0.55556,-0.16463,0.56116,0.80663,18.7,30.2,6.6,-21.9,-26.1,-111.3,999.8,21.93,3.92
0.66,-0.60296,-0.15902,0.59837,0.86423,7.3,32.3,2.6,-41.1,-21.3,-109.5,999.9,21.93,3.92
0.67,-0.63863,-0.15494,0.66565,0.93539,0.6,22.9,1.7,-19.5,-38.1,-108.9,999.9,21.93,3.92
0.68,-0.61264,-0.1371,0.62589,0.88649,-5.2,11.9,1.5,-31.5,-4.5,-105.3,999.9,21.93,3.92
0.69,-0.5999,-0.087666,0.6264,0.87175,-17.1,8,-3.1,-33.9,-33.3,-111.9,999.8,21.93,3.92
0.7,-0.64577,-0.050968,0.71458,0.96449,-25.8,5.7,-7,-38.7,-18.9,-108.3,999.8,21.93,3.92
0.71,-0.6738,-0.020897,0.7472,1.0064,-26.4,1.3,-6.4,-29.1,-30.9,-108.3,999.8,21.93,3.92
0.72,-0.67584,-0.013252,0.71458,0.98364,-18.3,-3.9,-3.3,-19.5,-26.1,-106.5,999.8,21.93,3.92
0.73,-0.72171,-0.033639,0.63099,0.95924,-14.1,-4.8,-2.4,-31.5,-28.5,-105.3,999.9,21.93,3.92
0.74,-0.76656,-0.061672,0.60347,0.97755,-7.9,3.1,-5.3,-24.3,-30.9,-111.9,999.7,21.93,3.92
0.75,-0.75688,-0.06473,0.58818,0.96073,1.3,15.4,-12.1,-24.3,-26.1,-109.5,999.8,21.93,3.92
0.76,-0.72222,-0.045872,0.5948,0.93675,9.5,25.5,-19,-21.9,-28.5,-108.9,999.8,21.93,3.92
0.77,-0.70234,-0.044852,0.64781,0.95653,15.5,28.3,-20.9,-19.5,-33.3,-102.9,999.8,21.93,3.92
0.78,-0.66514,-0.045872,0.69725,0.96471,16.6,23.1,-19.2,-21.9,-33.3,-111.9,999.8,21.93,3.92
0.79,-0.62181,-0.036697,0.7263,0.95682,13.5,12.9,-16,-7.5,-28.5,-116.1,999.9,21.93,3.92
0.8,-0.59225,-0.019368,0.73191,0.94171,12.6,2.5,-10.8,-12.3,-21.3,-107.7,999.9,21.93,3.92
0.81,-0.57543,-0.033129,0.70897,0.91371,17.3,-5.5,-2.2,-36.3,-16.5,-107.7,999.9,21.93,3.92
0.82,-0.60194,-0.10398,0.68043,0.9144,21.7,-11.2,6.6,-17.1,-28.5,-102.9,999.8,21.93,3.92
0.83,-0.63354,-0.17278,0.64526,0.92064,14.8,-15.2,8.2,-31.5,-30.9,-107.1,999.8,21.93,3.92
0.84,-0.70082,-0.18451,0.59123,0.93528,-10.7,-16.4,1.1,-33.9,-21.3,-110.7,999.7,21.93,3.92
0.85,-0.70082,-0.14985,0.60907,0.94051,-23.9,-10.1,-5.4,-38.7,-33.3,-108.9,999.9,21.93,3.92
0.86,-0.65596,-0.17533,0.61825,0.91829,-5.5,-7.9,-8,-31.5,-23.7,-111.3,999.8,21.93,3.92
0.87,-0.66871,-0.20795,0.55454,0.89326,5.7,-15.1,-7.3,-29.1,-16.5,-106.5,999.8,21.93,3.92
0.88,-0.65953,-0.23038,0.57798,0.90671,13.2,-21.7,-5.9,-36.3,-23.7,-102.3,999.9,21.93,3.92
0.89,-0.62181,-0.26402,0.61927,0.91643,24.2,-26,-6.7,-33.9,-21.3,-104.7,999.8,21.93,3.92
0.9,-0.56932,-0.24414,0.65341,0.90038,32.1,-27.2,-10.6,-19.5,-26.1,-114.9,999.9,21.93,3.92
0.91,-0.54587,-0.20133,0.72324,0.92822,40.2,-26.5,-13.1,-38.7,-28.5,-107.7,999.9,21.93,3.92
0.92,-0.51886,-0.18502,0.78491,0.95892,42.9,-25.1,-9.9,-31.5,-23.7,-115.5,999.8,21.93,3.92
0.93,-0.51682,-0.18298,0.816,0.98308,35.4,-25.9,-6.4,-36.3,-26.1,-113.1,999.8,21.93,3.92
0.94,-0.57085,-0.18654,0.85423,1.0442,31,-28.3,-6.2,-43.5,-18.9,-111.9,999.9,21.93,3.92
0.95,-0.58308,-0.17329,0.86901,1.0608,31.4,-28.5,-7.1,-33.9,-18.9,-110.7,999.9,21.93,3.92
0.96,-0.58614,-0.17329,0.80989,1.0146,27.4,-21.9,-7.7,-38.7,-33.3,-113.1,999.8,21.93,3.92
0.97,-0.56167,-0.16412,0.82671,1.0128,20.2,-8.5,-7.6,-38.7,-30.9,-113.7,999.9,21.93,3.92
0.98,-0.5367,-0.16871,0.88787,1.0511,21.9,-0.1,-7.6,-29.1,-28.5,-118.5,1000,21.93,3.92
0.99,-0.54179,-0.18043,0.90214,1.0677,24.9,0,-6,-45.9,-33.3,-116.7,999.9,21.93,3.92
1,-0.56167,-0.19317,0.90418,1.0818,21,-5.6,-3.1,-43.5,-28.5,-111.3,1000,21.99,3.92
1.01,-0.54638,-0.18043,0.90265,1.0705,12.7,-13,-1.7,-45.9,-30.9,-112.5,1000.1,21.99,3.92
1.02,-0.55759,-0.16972,0.89857,1.0711,14.3,-19.6,0.4,-21.9,-33.3,-119.1,1000,21.99,3.92
1.03,-0.58767,-0.19164,0.88634,1.0806,22.6,-26.1,6.6,-33.9,-18.9,-110.1,1000,21.99,3.92
1.04,-0.58767,-0.2105,0.8634,1.0654,21.2,-33.7,9.9,-21.9,-21.3,-108.3,1000,21.99,3.92
1.05,-0.58767,-0.2105,0.8634,1.0654,21.2,-33.7,9.9,-21.9,-21.3,-108.3,1000.1,21.99,3.92
1.06,-0.56065,-0.20591,0.83078,1.0232,17.5,-38.4,9.2,-33.9,-30.9,-119.1,1000,21.99,3.92
1.07,-0.54077,-0.18552,0.81855,0.99844,18.5,-37.6,9.5,-33.9,-38.1,-116.1,1000,21.99,3.92
1.08,-0.53058,-0.18603,0.80887,0.98509,20.4,-32.9,12.4,-43.5,-26.1,-110.1,1000.1,21.99,3.92
1.09,-0.50968,-0.21407,0.81091,0.98141,17.3,-26,15,-41.1,-40.5,-110.1,1000,21.99,3.92
1.1,-0.50612,-0.22579,0.81346,0.9843,11.6,-18.5,14.1,-45.9,-38.1,-111.9,1000.1,21.99,3.92
1.11,-0.51784,-0.22018,0.83028,1.003,2.8,-11.8,11.4,-43.5,-52.5,-113.1,1000,21.99,3.92
1.12,-0.51172,-0.21305,0.85984,1.023,-4.9,-5.1,10.4,-38.7,-28.5,-114.9,1000,21.99,3.92
1.13,-0.49694,-0.20795,0.88226,1.0337,-7.4,-0.6,10.4,-43.5,-54.9,-117.9,1000,21.99,3.92
1.14,-0.50663,-0.18043,0.89857,1.0472,-8.9,0.7,9.5,-43.5,-18.9,-113.7,1000,21.99,3.92
1.15,-0.55708,-0.16259,0.92253,1.0899,-4.6,2.3,9,-50.7,-16.5,-113.1,999.9,21.99,3.92
1.16,-0.60907,-0.15341,0.96381,1.1504,-0.7,2,9.3,-45.9,-26.1,-117.3,1000,21.99,3.92
1.17,-0.58359,-0.12895,0.98981,1.1563,0.5,-1.9,6.4,-38.7,-42.9,-119.7,999.9,21.99,3.92
1.18,-0.54027,-0.094801,0.99134,1.133,-1.1,-5.1,1.5,-38.7,-40.5,-114.9,999.9,21.99,3.92
1.19,-0.53007,-0.075943,1.0036,1.1375,-7.5,-5.1,1,-43.5,-26.1,-120.9,999.9,21.99,3.92
1.2,-0.52599,-0.086137,1.0102,1.1422,-19.8,-5.4,4,-33.9,-38.1,-119.7,1000,21.99,3.92
1.21,-0.51376,-0.068298,0.97452,1.1038,-36.8,-7,5.3,-41.1,-52.5,-117.3,1000,21.99,3.92
1.22,-0.47961,-0.017839,0.96789,1.0804,-38.8,-6.2,4.1,-43.5,-26.1,-120.3,1000,21.99,3.92
1.23,-0.48573,0.00050968,0.89806,1.021,-31.2,-1.5,5.7,-45.9,-33.3,-120.3,1000,21.99,3.92
1.24,-0.50255,-0.020897,0.87309,1.0076,-31.5,8.9,10.6,-53.1,-40.5,-116.1,1000,21.99,3.92
1.25,-0.55708,-0.08053,0.90877,1.069,-37.4,14.5,10.2,-33.9,-50.1,-108.9,999.9,21.99,3.92
1.26,-0.54281,-0.10194,0.88787,1.0456,-43.5,11.7,4.2,-31.5,-33.3,-117.9,1000,21.99,3.92
1.27,-0.47859,-0.076962,0.81448,0.94781,-43,7.6,-2.4,-45.9,-42.9,-113.1,1000,21.99,3.92
1.28,-0.44852,-0.036697,0.78593,0.90565,-42.3,6.7,-4.2,-38.7,-23.7,-113.7,1000.1,21.99,3.92
1.29,-0.43884,-0.028033,0.77523,0.89126,-35,7.9,0.9,-36.3,-35.7,-110.1,1000,21.99,3.92
1.3,-0.45821,-0.038736,0.77982,0.9053,-22.1,7.2,7.2,-33.9,-38.1,-115.5,1000,21.99,3.92
1.31,-0.5051,-0.059123,0.78695,0.93697,-13,2.4,10.1,-38.7,-14.1,-111.3,999.9,21.99,3.92
1.32,-0.50255,-0.057594,0.76962,0.92097,-20.6,-3.1,9.2,-36.3,-33.3,-110.7,1000,21.99,3.92
1.33,-0.49898,-0.0316,0.76962,0.91777,-30.1,-3,3.9,-38.7,-28.5,-110.7,999.9,21.99,3.92
1.34,-0.50765,-0.0086646,0.75178,0.90717,-29.2,1.6,1.2,-31.5,-28.5,-119.7,1000,21.99,3.92
1.35,-0.50102,-0.0020387,0.72069,0.87774,-29.5,7.8,2.3,-38.7,-26.1,-110.1,1000,21.99,3.92
1.36,-0.51988,-0.00050968,0.69011,0.86402,-31.1,13.5,2.8,-48.3,-21.3,-105.3,1000,21.99,3.92
1.37,-0.57034,-0.020387,0.69164,0.8967,-29.2,16,2.9,-36.3,-26.1,-114.9,999.9,21.99,3.92
1.38,-0.60092,-0.038736,0.69266,0.91781,-27.9,15.6,1.8,-38.7,-23.7,-104.1,1000,21.99,3.92
1.39,-0.56728,-0.059633,0.64475,0.86085,-22.8,13.8,-0.4,-29.1,-28.5,-110.1,999.9,21.99,3.92
1.4,-0.5107,-0.051478,0.58002,0.77453,-17,11,-2,-41.1,-18.9,-113.7,999.9,21.99,3.92
1.41,-0.49235,-0.029562,0.54587,0.73571,-9.9,9.3,0.4,-24.3,-21.3,-111.9,999.9,21.99,3.92
1.42,-0.47452,-0.019878,0.54281,0.72125,-1,10.3,6.4,-33.9,-26.1,-113.1,1000,21.99,3.92
1.43,-0.47401,-0.044343,0.55148,0.72854,7.4,12.1,14.5,-43.5,-18.9,-108.9,999.9,21.99,3.92
1.44,-0.53568,-0.09735,0.59327,0.80523,8.4,14.3,21.4,-21.9,-21.3,-108.9,1000,21.99,3.92
1.45,-0.62946,-0.1524,0.65494,0.92108,9.8,12.7,23.8,-29.1,-23.7,-108.3,999.9,21.99,3.92
1.46,-0.6738,-0.158,0.66616,0.96059,10.4,2.6,18.9,-29.1,-35.7,-111.9,999.9,21.99,3.92
1.47,-0.6789,-0.11111,0.64016,0.93971,5.9,-10.6,12.7,-14.7,-23.7,-111.9,999.9,21.99,3.92
1.48,-0.66871,-0.09735,0.62334,0.91935,14.3,-18.5,14.2,-38.7,-30.9,-109.5,1000,21.99,3.92
1.49,-0.6789,-0.13048,0.62742,0.93359,26.3,-24.3,17.3,-17.1,-23.7,-113.1,999.9,21.99,3.92
1.5,-0.71101,-0.17074,0.66463,0.98814,32.1,-28,14.9,-41.1,-14.1,-118.5,999.9,22.01,3.92
1.51,-0.72375,-0.17074,0.69725,1.0194,33.8,-26.5,8.1,-24.3,-40.5,-114.9,1000,22.01,3.92
1.52,-0.72477,-0.14373,0.73751,1.044,32.6,-22.2,1.6,-41.1,-38.1,-116.7,1000,22.01,3.92
1.53,-0.7156,-0.11519,0.79664,1.077,34.9,-18.5,-1.5,-17.1,-47.7,-120.3,1000,22.01,3.92
1.54,-0.73802,-0.094801,0.84149,1.1233,39.3,-15.2,-2.7,-41.1,-54.9,-113.1,999.9,22.01,3.92
1.55,-0.7844,-0.1055,0.89755,1.1967,38.9,-7.3,-2.9,-38.7,-42.9,-110.1,999.8,22.01,3.92
1.56,-0.85474,-0.15189,0.94699,1.2847,36,-0.3,-6.7,-24.3,-33.3,-110.7,999.9,22.01,3.92
1.57,-0.89755,-0.1264,0.95515,1.3168,20.3,0,-14.7,-24.3,-30.9,-113.7,999.8,22.01,3.92
1.58,-0.92049,-0.1055,0.96228,1.3358,15.6,-4.2,-25.3,-31.5,-28.5,-111.9,999.8,22.01,3.92
1.59,-0.92661,-0.09633,0.94241,1.3251,19.6,-9.5,-32.8,-29.1,-30.9,-113.7,999.7,22.01,3.92
1.6,-0.91081,-0.11315,0.921,1.3002,22.6,-13.2,-34.9,-26.7,-40.5,-113.7,999.8,22.01,3.92
1.61,-0.89501,-0.15291,0.9052,1.2821,27.3,-19.3,-38.4,-43.5,-33.3,-110.1,999.7,22.01,3.92
1.62,-0.88532,-0.20285,0.86137,1.2518,34.9,-22.6,-42.9,-36.3,-30.9,-108.9,999.8,22.01,3.92
1.63,-0.84913,-0.2263,0.83028,1.209,43.7,-22.3,-50.6,-41.1,-33.3,-113.1,999.7,22.01,3.92
1.64,-0.82467,-0.23038,0.8053,1.1754,52.4,-22.2,-62,-43.5,-38.1,-119.7,999.7,22.01,3.92
1.65,-0.77727,-0.19572,0.79409,1.1283,61.5,-16.2,-75.4,-41.1,-33.3,-117.9,999.8,22.01,3.92
1.66,-0.71305,-0.16922,0.81295,1.0945,72.1,-6,-85.3,-38.7,-23.7,-117.3,999.9,22.01,3.92
1.67,-0.66616,-0.13405,0.83486,1.0764,70.2,-1.1,-82.7,-38.7,-23.7,-113.7,999.9,22.01,3.92
1.68,-0.63405,-0.13048,0.88481,1.0963,53.3,-6,-74.2,-67.5,-35.7,-116.1,999.9,22.01,3.92
1.69,-0.58818,-0.158,0.89908,1.0859,39.5,-11.1,-68.8,-60.3,-23.7,-120.3,999.9,22.01,3.92
1.7,-0.55352,-0.20999,0.89348,1.0718,32.9,-9,-64.5,-55.5,-33.3,-113.1,999.9,22.01,3.92
1.71,-0.52497,-0.2421,0.86901,1.0437,27.9,-2.6,-62.6,-41.1,-33.3,-110.7,1000,22.01,3.92
1.72,-0.5265,-0.25178,0.84149,1.0241,28.6,4,-63.1,-55.5,-23.7,-118.5,999.9,22.01,3.92
1.73,-0.52599,-0.27523,0.84608,1.0336,33.7,11,-57.9,-65.1,-21.3,-115.5,1000,22.01,3.92
1.74,-0.48165,-0.27523,0.93527,1.0874,52.8,13.7,-51.1,-60.3,-30.9,-117.9,999.9,22.01,3.92
1.75,-0.5265,-0.27625,0.98879,1.1538,91.4,12,-46.2,-77.1,-21.3,-113.1,999.9,22.01,3.92
1.76,-0.61417,-0.29867,0.99337,1.2055,120.9,16.9,-43.9,-57.9,-23.7,-117.3,999.9,22.01,3.92
1.77,-0.69113,-0.2737,0.9893,1.2374,118.1,31.6,-48.2,-55.5,-16.5,-116.1,999.8,22.01,3.92
1.78,-0.71407,-0.25688,1.0204,1.2716,98.4,51.2,-56.6,-50.7,-28.5,-120.3,999.9,22.01,3.92
1.79,-0.73853,-0.24363,1.08,1.3309,69.5,68.6,-66.4,-67.5,-14.1,-120.3,999.8,22.01,3.92
1.8,-0.80224,-0.21713,1.1453,1.415,42.8,81.7,-79.6,-57.9,-38.1,-118.5,999.8,22.01,3.92
1.81,-0.921,-0.23293,1.2115,1.5396,16.6,90.7,-88.2,-43.5,-9.3,-120.3,999.6,22.01,3.92
1.82,-0.97554,-0.22171,1.2334,1.5881,-13.5,90.6,-84.5,-43.5,-23.7,-120.9,999.8,22.01,3.92
1.83,-1.0311,-0.21814,1.1718,1.576,-12.1,74.9,-83.4,-48.3,-9.3,-117.3,999.7,22.01,3.92
1.84,-1.0525,-0.23955,1.0826,1.5288,10.3,61.9,-91.5,-60.3,-21.3,-120.9,999.6,22.01,3.92
1.85,-1.0234,-0.26962,0.99898,1.4554,32.3,63.7,-99,-53.1,-11.7,-119.1,999.6,22.01,3.92
1.86,-0.96534,-0.28389,0.93986,1.3769,49.6,76.2,-99.6,-50.7,-2.1,-113.7,999.7,22.01,3.92
1.87,-0.9317,-0.27574,0.91284,1.3332,62,89.8,-96.1,-55.5,7.5,-114.9,999.7,22.01,3.92
1.88,-0.93629,-0.28033,0.94241,1.3577,75.1,98.2,-90.4,-48.3,-4.5,-122.1,999.7,22.01,3.92
1.89,-0.96432,-0.34047,1.026,1.4486,73.3,98.1,-77.5,-33.9,-9.3,-113.7,999.6,22.01,3.92
1.9,-0.9526,-0.41998,1.0897,1.5071,60.9,96.6,-69.2,-53.1,-6.9,-120.3,999.7,22.01,3.92
1.91,-0.82977,-0.50612,1.1621,1.515,21.7,87,-84.3,-53.1,14.7,-115.5,999.7,22.01,3.92
1.92,-0.72375,-0.46432,1.1636,1.4469,-53,64.2,-108.7,-62.7,14.7,-115.5,999.8,22.01,3.92
1.93,-0.73904,-0.37411,1.0443,1.333,-109,49.8,-123.4,-60.3,14.7,-117.3,999.8,22.01,3.92
1.94,-0.73344,-0.32518,0.92864,1.2272,-135.9,41.6,-123.9,-65.1,17.1,-107.7,999.8,22.01,3.92
1.95,-0.73344,-0.32518,0.92864,1.2272,-135.9,41.6,-123.9,-65.1,17.1,-107.7,999.8,22.01,3.92
1.96,-0.6366,-0.26351,0.74924,1.0179,-126.2,33.4,-118.5,-55.5,26.7,-108.3,999.9,22.01,3.92
1.97,-0.4735,-0.3527,0.75076,0.95511,-86.4,30.9,-120.9,-62.7,41.1,-110.1,1000,22.01,3.92
1.98,-0.37207,-0.51631,0.80989,1.03,-57.2,49.5,-139.2,-74.7,53.1,-110.7,999.9,22.01,3.92
1.99,-0.37666,-0.50459,0.80836,1.0247,-98.8,102,-189.8,-79.5,65.1,-107.1,1000,22.01,3.92
2,-0.37666,-0.50459,0.80836,1.0247,-98.8,102,-189.8,-79.5,65.1,-107.1,1000,22.03,3.92
2.01,-0.40724,-0.41182,1.0973,1.2408,-123.7,92.6,-202.8,-91.5,57.9,-99.3,999.9,22.03,3.92
2.02,-0.55963,-0.29918,0.99134,1.177,-150.8,54.3,-204.3,-91.5,84.3,-106.5,1000,22.03,3.92
2.03,-0.60805,-0.22579,0.97706,1.1728,-161.8,24.7,-194.3,-98.7,81.9,-94.5,999.9,22.03,3.92
2.04,-0.51376,-0.28186,0.92864,1.0981,-183.4,6.2,-179,-120.3,89.1,-98.1,1000,22.03,3.92
2.05,-0.27982,-0.36137,0.88736,0.99814,-217.2,2.7,-170.4,-125.1,77.1,-101.1,1000.3,22.03,3.92
2.06,-0.057085,-0.36188,0.82059,0.89866,-244.6,9.4,-170.5,-120.3,110.7,-92.7,1000.3,22.03,3.92
2.07,0.049949,-0.30836,0.74924,0.81175,-251.3,18.6,-163.3,-127.5,120.3,-87.9,1000.3,22.03,3.92
2.08,0.072885,-0.21254,0.70285,0.73789,-242,24,-132.6,-151.5,115.5,-93.9,1000.4,22.03,3.92
2.09,0.085117,-0.11264,0.66157,0.67647,-220.1,25.6,-81.7,-153.9,110.7,-84.9,1000.3,22.03,3.92
