Time (s),Accel_X (g),Accel_Y (g),Accel_Z (g),Accel_Mag (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s),Mag_X (mT),Mag_Y (mT),Mag_Z (mT),Pressure (mbar),P_Temp (C),Battery (V)
0,-1.422,-0.10652,0.061672,1.4273,95.9,-53,196.9,16.5,-95.7,-70.5,1000.2,21.7,3.92
0.01,-1.422,-0.10652,0.061672,1.4273,95.9,-53,196.9,16.5,-95.7,-70.5,1000.2,21.7,3.92
0.02,-1.4526,-0.046381,0.12793,1.459,50.4,-62.3,196.7,28.5,-114.9,-73.5,1000,21.7,3.92
0.03,-1.1723,0.18756,0.24873,1.213,-34,-78.1,195.1,11.7,-119.7,-74.1,1000.1,21.7,3.92
0.04,-1.0647,0.31498,0.40571,1.1821,-55.3,-106,186.2,21.3,-126.9,-69.9,1000,21.7,3.92
0.05,-1.238,0.33894,0.55912,1.4001,-31.7,-148.4,176.1,38.1,-138.9,-77.1,999.8,21.7,3.92
0.06,-1.3089,0.41437,0.4684,1.4506,-13.2,-191.2,167.6,30.9,-160.5,-80.1,999.7,21.7,3.92
0.07,-1.2635,0.45973,0.4159,1.4074,-4.6,-209.1,170.7,33.3,-153.3,-81.9,999.7,21.7,3.92
0.08,-1.1835,0.46126,0.45362,1.3488,13.4,-201,177.4,30.9,-158.1,-86.7,999.6,21.7,3.92
0.09,-1.1096,0.3629,0.67635,1.3492,30.2,-181.2,176.1,35.7,-162.9,-90.3,999.6,21.7,3.92
0.1,-0.98318,0.20795,0.85882,1.3219,92.9,-172.1,161.7,35.7,-182.1,-80.1,999.6,21.7,3.92
0.11,-0.74771,0.19368,0.76707,1.0886,153.3,-177.1,132.6,38.1,-172.5,-93.3,999.9,21.7,3.92
0.12,-0.46738,0.19572,0.65698,0.82968,97.1,-179.6,96.9,30.9,-198.9,-86.7,999.9,21.7,3.92
0.13,-0.39195,0.21865,0.77013,0.89137,-6.2,-164.3,50.4,28.5,-196.5,-92.1,1000,21.7,3.92
0.14,-0.4419,0.30734,0.92253,1.0681,-23.6,-133.4,0.9,30.9,-198.9,-94.5,1000,21.7,3.92
0.15,-0.4419,0.30734,0.92253,1.0681,-23.6,-133.4,0.9,30.9,-198.9,-94.5,999.9,21.7,3.92
0.16,-0.45413,0.34251,0.99592,1.1469,-1.3,-106.7,-31,30.9,-191.7,-90.9,999.9,21.7,3.92
0.17,-0.42915,0.33894,1.0245,1.1613,-6.7,-94.6,-46.6,14.1,-196.5,-98.1,999.9,21.7,3.92
0.18,-0.39501,0.33843,0.98726,1.1159,-28.7,-88.6,-59.3,30.9,-182.1,-103.5,1000,21.7,3.92
0.19,-0.33486,0.36595,0.94444,1.0668,-32,-73.2,-72.8,18.9,-189.3,-95.7,1000,21.7,3.92
0.2,-0.30326,0.36137,0.94241,1.0539,-23.1,-56.2,-76.6,11.7,-174.9,-105.3,999.8,21.7,3.92
0.21,-0.32314,0.29562,0.94852,1.0447,-25.6,-52.1,-70.7,11.7,-186.9,-95.7,999.8,21.7,3.92
0.22,-0.31091,0.29867,0.95923,1.0517,-28.7,-59,-62.5,21.3,-184.5,-104.1,999.9,21.7,3.92
0.23,-0.27982,0.26045,0.91947,0.99577,0.3,-69.2,-41.2,16.5,-170.1,-101.7,999.9,21.7,3.92
0.24,-0.22222,0.0015291,0.74516,0.77759,-0.4,-69.1,-18.6,26.1,-179.7,-106.5,999.9,21.7,3.92
0.25,-0.20183,-0.091743,0.69725,0.73165,-29.7,-49.1,-23.1,18.9,-179.7,-101.7,999.8,21.7,3.92
0.26,-0.25229,-0.091743,0.73598,0.78342,-30.4,-20.8,-42,18.9,-167.7,-103.5,999.8,21.7,3.92
0.27,-0.39195,-0.11468,0.83282,0.92756,-6.9,-6.4,-60.1,14.1,-174.9,-102.9,999.8,21.7,3.92
0.28,-0.42762,-0.12946,0.84913,0.95951,20.6,-15.1,-80.7,23.7,-150.9,-108.9,999.8,21.7,3.92
0.29,-0.33333,-0.085117,0.8002,0.87102,44.3,-29.6,-103.1,14.1,-167.7,-102.9,999.8,21.7,3.92
0.3,-0.36595,-0.065749,0.78797,0.87129,43.8,-37.8,-115.6,16.5,-146.1,-104.1,999.7,21.7,3.92
0.31,-0.37717,-0.16972,0.84964,0.94496,50.5,-47.5,-106,18.9,-146.1,-107.7,999.7,21.7,3.92
0.32,-0.34149,-0.18145,0.86239,0.94512,57.9,-67,-70.4,26.1,-158.1,-102.9,999.7,21.7,3.92
0.33,-0.30326,0.0081549,0.85831,0.91034,40.7,-83.4,-39.6,14.1,-146.1,-101.1,999.7,21.7,3.92
0.34,-0.46126,0.056065,0.79001,0.91653,46.5,-88.7,-48.5,18.9,-146.1,-107.1,999.7,21.7,3.92
0.35,-0.5423,-0.068807,0.7105,0.89646,39.5,-68.9,-83.1,14.1,-138.9,-105.9,999.6,21.7,3.92
0.36,-0.59174,-0.10754,0.73496,0.94968,-4.6,-47.6,-110.8,4.5,-148.5,-109.5,999.6,21.7,3.92
0.37,-0.63609,-0.049439,0.86188,1.0723,-9,-39.6,-136.5,18.9,-134.1,-105.9,999.5,21.7,3.92
0.38,-0.59735,-0.03211,0.96279,1.1335,26.4,-49.2,-160.1,2.1,-117.3,-111.3,999.5,21.7,3.92
0.39,-0.50561,-0.045872,0.94903,1.0763,34.9,-63.9,-170.9,6.9,-131.7,-109.5,999.5,21.7,3.92
0.4,-0.44852,-0.097859,0.88124,0.99365,15.7,-66.7,-179,-0.3,-129.3,-119.1,999.5,21.7,3.92
0.41,-0.47859,-0.11009,0.84149,0.97431,-10.8,-48.9,-194.7,6.9,-112.5,-111.3,999.6,21.7,3.92
0.42,-0.51121,-0.12334,0.84149,0.9923,-1.5,-15.9,-216,-12.3,-110.1,-105.9,999.4,21.7,3.92
0.43,-0.5897,-0.082059,0.85933,1.0454,2,18.4,-238.6,-0.3,-93.3,-114.9,999.6,21.7,3.92
0.44,-0.6524,-0.021916,0.88175,1.0971,-41.2,41.9,-251.5,-9.9,-83.7,-113.7,999.4,21.7,3.92
