time,pres,P1,P2,P3,accmag,magx,magy,magz,absaccx,absaccy,absaccz
0.0,1000.2174072265625,1000.0621948242188,1000.32275390625,1000.112060546875,-0.8815566066144402,46.25,10.375,1.25,-1.1725236128499983,0.8446590908031362,-0.9992769407656983
0.01,1000.2074279785156,1000.0421752929688,1000.2327880859375,1000.1820678710938,-0.4076067023637826,46.25,10.375,1.25,-0.8001917900489106,0.02327198181933854,-0.44174769567797156
0.02,1000.2174377441406,1000.0722045898438,1000.3027954101562,1000.132080078125,-0.7683796391924265,46.25,10.375,1.25,-0.9942254894997524,-0.42252336393175405,-0.8331470752868597
0.031,1000.222412109375,1000.0321655273438,1000.2727661132812,1000.1720581054688,-1.3150837878025357,46.25,10.375,1.25,-1.21375460208036,-0.6550462489180626,-1.4277976861708677
0.041,1000.1773986816406,1000.1021728515625,1000.1927490234375,1000.1620483398438,-1.5003667534554985,46.25,10.375,1.25,-1.2376446597885522,-0.2906366597056338,-1.5981932121968594
0.051,1000.232421875,1000.0621948242188,1000.32275390625,1000.14208984375,-1.5161407631462183,45.375,5.0625,11.25,-0.8431660556571758,-0.3193006104034817,-1.5652914445974329
0.062,1000.202392578125,1000.0722045898438,1000.312744140625,1000.092041015625,-1.4189509105597562,45.375,5.0625,11.25,-0.2515708643468648,-0.8437443136515426,-1.4652703785689738
0.072,1000.1824035644531,1000.0722045898438,1000.2027587890625,1000.1620483398438,-1.2543409343892993,45.375,5.0625,11.25,-0.34353058356722954,-0.52429321797859,-1.277333042553332
0.082,1000.1574401855469,1000.0221557617188,1000.1828002929688,1000.132080078125,-1.173467369877974,45.375,5.0625,11.25,-0.6695603692906467,-0.7494093146490948,-1.2321348540470147
0.093,1000.1574096679688,1000.0521850585938,1000.1927490234375,1000.1220703125,-1.1254962067053018,45.375,5.0625,11.25,-1.0731354902162908,-0.9773942668840485,-1.247658801329484
0.103,1000.1674194335938,1000.0421752929688,1000.2427978515625,1000.092041015625,-1.0756655803442534,39.1875,-0.0625,28.0,-1.3656860587659536,-0.7717442604813175,-1.2176830749972005
0.113,1000.2274169921875,1000.0421752929688,1000.2727661132812,1000.1820678710938,-1.1496652020612181,39.1875,-0.0625,28.0,-1.1168007449112465,-0.8712937287767663,-1.266288736927649
0.124,1000.3224182128906,1000.0621948242188,1000.4627685546875,1000.1820678710938,-1.2478218043522755,39.1875,-0.0625,28.0,-0.9963135407312862,-0.9788301418286354,-1.362506505712565
0.134,1000.2524108886719,1000.0421752929688,1000.32275390625,1000.1820678710938,-1.3611301732056056,39.1875,-0.0625,28.0,-0.5993819391974142,-0.9805071147019946,-1.439650638169308
0.144,1000.3724365234375,1000.1322021484375,1000.4127807617188,1000.3320922851562,-1.5181605273880123,28.75,-2.5625,41.1875,0.3796793196430497,0.06114235515667921,-1.52708342030372
0.155,1000.357421875,1000.0621948242188,1000.4227905273438,1000.2920532226562,-1.5824001182903302,28.75,-2.5625,41.1875,0.9225233662549308,0.46359153989127155,-1.6474370853044018
0.165,1000.3074340820312,1000.0321655273438,1000.372802734375,1000.2420654296875,-1.456503551700136,28.75,-2.5625,41.1875,2.1764203935909494,1.4905520528604232,-1.883944754177307
0.175,1000.3074340820312,1000.0722045898438,1000.4328002929688,1000.1820678710938,-1.7518425419593537,28.75,-2.5625,41.1875,1.9809345081357983,1.8395040627980044,-2.218819268651121
0.186,1000.25244140625,1000.0521850585938,1000.2927856445312,1000.2120971679688,-1.560460751562653,28.75,-2.5625,41.1875,1.1761042920229032,1.8940639923752496,-1.8674438561266022
0.196,1000.2874145507812,1000.0321655273438,1000.3927612304688,1000.1820678710938,-2.033406802234375,18.0625,-6.25,48.0,0.5285271211357858,1.6207661488278837,-2.22256446903355
0.206,1000.2574157714844,1000.1121826171875,1000.36279296875,1000.1520385742188,-1.278892033389214,18.0625,-6.25,48.0,0.9856160067784563,1.9345847052308895,-1.5598032603192546
0.216,1000.2574157714844,1000.01220703125,1000.3927612304688,1000.1220703125,-0.9364606682356218,18.0625,-6.25,48.0,1.2725556269546225,2.0635315278172515,-1.2740677086577268
0.226,1000.1624450683594,1000.1322021484375,1000.1828002929688,1000.14208984375,-1.1293433437777676,18.0625,-6.25,48.0,0.9037437269833162,1.9780255745175963,-1.4061638470453275
0.237,1000.1574401855469,1000.0421752929688,1000.2327880859375,1000.0820922851562,-1.3611243489546716,18.0625,-6.25,48.0,-0.10569758842113242,1.6493521611055952,-1.5243518518292802
0.247,1000.202392578125,1000.0421752929688,1000.2527465820312,1000.1520385742188,-1.5582244959655682,18.6875,-7.375,47.875,-0.47190582259529634,1.366088295769951,-1.685782706516049
0.257,1000.1874389648438,1000.1021728515625,1000.2927856445312,1000.0820922851562,-1.0256443252368879,18.6875,-7.375,47.875,-0.7020480492553784,1.4446978866901021,-1.173746114577641
0.267,1000.2624206542969,1000.0921630859375,1000.352783203125,1000.1720581054688,-0.7593148442601265,18.6875,-7.375,47.875,-0.37007273145389874,1.3208204460821191,-0.8638622126095239
0.277,1000.242431640625,1000.1121826171875,1000.352783203125,1000.132080078125,0.04479084264213107,18.6875,-7.375,47.875,0.09599756921443081,1.1018806447935767,-0.017474990404290125
0.288,1000.1874084472656,1000.0621948242188,1000.32275390625,1000.0520629882812,0.7471255250062523,18.6875,-7.375,47.875,0.4822003317213053,0.887579113104242,0.6986909512463786
0.298,1000.2874145507812,1000.0722045898438,1000.3827514648438,1000.1920776367188,1.3441068654266441,24.5625,-7.25,44.875,0.7750180445103769,0.7298521163785922,1.2931870597706663
0.308,1000.222412109375,1000.1521606445312,1000.3427734375,1000.10205078125,1.7330110994582633,24.5625,-7.25,44.875,0.7709919329936339,0.6432917879498923,1.6892544261370084
0.318,1000.222412109375,1000.1021728515625,1000.332763671875,1000.112060546875,2.0901090642755644,24.5625,-7.25,44.875,0.5955847448879914,0.3721862719069533,2.069366646935105
0.328,1000.1724243164062,1000.0321655273438,1000.2327880859375,1000.112060546875,2.1942744244308496,24.5625,-7.25,44.875,0.5565297194529641,0.28731088214883876,2.177924406894176
0.339,1000.2574157714844,1000.0921630859375,1000.3927612304688,1000.1220703125,2.2704218360016135,24.5625,-7.25,44.875,0.5374792130947155,0.3091557676861232,2.2544987688068545
0.349,1000.2624206542969,1000.01220703125,1000.3027954101562,1000.2220458984375,2.1251744863854434,24.6875,-5.875,44.875,0.6598709293044691,0.14417479256763377,2.1060469118878924
0.359,1000.242431640625,1000.0722045898438,1000.36279296875,1000.1220703125,2.0216906591975405,24.6875,-5.875,44.875,0.9201199656354189,0.012097133660358583,1.985852523795753
