Time (s),Accel_X (g),Accel_Y (g),Accel_Z (g),Accel_Mag (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s),Mag_X (mT),Mag_Y (mT),Mag_Z (mT),Pressure (mbar),P_Temp (C),Battery (V),time
29.56,7.455,7.675,1.955,1.067,-996.0,13.4,-7.1,-336.3,-426.9,-107.1,1070.0,19.93,3.87,29.56
29.57,7.475,8.735,2.58,1.973,-975.7,14.5,-0.6,-324.3,-407.7,-108.9,1069.9,19.93,3.87,29.57
29.58,8.05,6.02,3.58,0.86,-947.7,18.7,-11.9,-329.1,-383.7,-124.5,1069.4,19.93,3.87,29.58
29.59,6.715,6.37,4.27,0.383,-949.3,20.9,-26.7,-331.5,-342.9,-129.9,1070.3,19.93,3.87,29.59
29.6,7.27,5.58,4.9,0.582,-994.9,14.9,-7.4,-319.5,-309.3,-135.3,1070.8,19.93,3.87,29.6
29.61,7.43,5.225,5.84,0.989,-1042.9,14.3,-5.0,-321.9,-270.9,-142.5,1070.7,19.93,3.87,29.61
29.62,7.415,4.135,6.45,0.852,-1083.5,20.0,-6.0,-338.7,-220.5,-148.5,1070.8,19.93,3.87,29.62
29.63,7.555,3.155,7.77,1.477,-1128.0,25.6,-3.7,-350.7,-148.5,-144.9,1071.3,19.93,3.87,29.63
29.64,7.295,1.815,9.09,1.986,-1193.2,19.0,0.4,-338.7,-119.7,-141.3,1071.1,19.93,3.87,29.64
29.65,7.245,0.345,9.48,2.126,-1265.7,12.6,-7.6,-329.1,-45.3,-146.7,1071.0,19.93,3.87,29.65
29.66,7.465,-1.1,8.75,1.744,-1315.8,11.0,-12.8,-348.3,-4.5,-131.1,1071.0,19.93,3.87,29.66
29.67,7.36,-2.86,8.58,1.85,-1333.9,13.9,-12.3,-343.5,60.3,-125.1,1071.7,19.93,3.87,29.67
29.68,7.49,-4.07,6.365,0.829,-1338.1,12.1,-11.8,-333.9,89.1,-109.5,1071.5,19.93,3.87,29.68
29.69,7.56,-5.66,5.655,1.198,-1318.2,17.0,-7.3,-343.5,105.9,-99.9,1071.1,19.93,3.87,29.69
29.7,7.045,-5.14,2.375,-0.772,-1276.3,17.8,-7.0,-338.7,122.7,-86.1,1071.5,19.93,3.87,29.7
29.71,7.225,-6.04,1.405,-0.289,-1229.0,15.0,-14.7,-350.7,103.5,-63.9,1072.0,19.93,3.87,29.71
29.72,12.415,0.06,-4.515,3.401,-1178.2,23.7,-17.3,-338.7,91.5,-44.7,1073.6,19.93,3.87,29.72
29.73,27.805,5.77,-14.255,21.964,-565.1,-124.6,-5.7,-331.5,62.7,-46.5,1075.0,19.93,3.87,29.73
29.74,-3.595,30.78,-10.605,22.944,286.9,-342.2,-69.6,-314.7,69.9,-44.1,1066.4,19.93,3.87,29.74
29.75,-11.715,-21.84,-1.045,14.996,581.4,-313.4,18.2,-307.5,74.7,-51.3,1070.5,19.93,3.87,29.75
29.76,10.93,-29.93,7.68,22.966,-21.8,-67.0,62.4,-309.9,77.1,-49.5,1070.3,19.93,3.87,29.76
29.77,12.28,5.77,-9.085,6.519,-183.2,-0.3,-37.6,-312.3,74.7,-48.3,1072.8,19.93,3.87,29.77
29.78,4.68,-13.125,-6.915,5.746,214.8,-52.0,56.2,-293.1,84.3,-53.7,1072.2,19.93,3.87,29.78
29.79,9.95,-11.24,-3.725,5.657,161.2,-1.2,5.9,-302.7,69.9,-50.7,1072.3,19.93,3.87,29.79
29.8,16.6,-5.245,-12.0,11.334,10.2,-38.8,5.6,-297.9,72.3,-53.1,1073.8,19.93,3.87,29.8
29.81,24.97,-10.53,-13.655,20.535,-5.1,-58.4,24.6,-305.1,84.3,-51.3,1076.6,19.93,3.87,29.81
29.82,6.89,-5.22,-11.275,4.397,-144.4,-222.4,0.4,-321.9,72.3,-50.1,1067.9,19.93,3.87,29.82
29.83,-1.805,-5.665,20.1,11.151,-443.7,-345.0,46.7,-300.3,67.5,-41.7,1067.3,19.93,3.87,29.83
29.84,19.295,6.125,-6.01,11.307,102.8,-178.4,17.4,-297.9,55.5,-40.5,1072.1,19.93,3.87,29.84
29.85,6.725,-10.815,-6.22,4.363,381.0,-267.9,6.5,-269.1,77.1,-50.7,1068.7,19.93,3.87,29.85
29.86,-1.355,2.055,1.82,-6.749,391.5,-402.7,26.0,-273.9,62.7,-55.5,1069.3,19.93,3.87,29.86
29.87,15.975,-11.35,-9.745,12.076,783.7,-310.3,224.1,-261.9,81.9,-54.9,1073.6,19.93,3.87,29.87
29.88,15.975,-11.35,-9.745,12.076,783.7,-310.3,224.1,-261.9,81.9,-54.9,1069.5,19.93,3.87,29.88
29.89,7.155,-22.17,-3.725,13.782,737.6,-574.9,236.0,-230.7,120.3,-73.5,1069.0,19.93,3.87,29.89
29.9,-4.18,2.71,-2.135,-4.39,759.3,-722.4,384.9,-218.7,115.5,-79.5,1070.8,19.93,3.87,29.9
29.91,3.99,-16.335,-33.71,27.861,1034.8,-499.2,574.3,-213.9,96.3,-83.7,1069.2,19.93,3.87,29.91
29.92,-0.855,-7.675,7.32,0.83,1320.9,-188.7,592.7,-180.3,72.3,-104.1,1070.6,19.93,3.87,29.92
29.93,-0.225,-9.785,19.01,11.572,1908.7,-15.9,144.3,-173.1,29.1,-124.5,1067.6,19.93,3.87,29.93
29.94,6.03,0.675,4.87,-2.03,1998.0,49.6,-183.5,-168.3,-38.1,-135.3,1069.0,19.93,3.87,29.94
29.95,2.89,13.925,30.08,23.463,1992.8,-115.8,-141.9,-175.5,-136.5,-145.5,1067.2,19.93,3.87,29.95
29.96,5.65,-1.655,18.825,9.914,1994.9,-91.4,-72.4,-170.7,-254.1,-141.9,1067.9,19.93,3.87,29.96
29.97,0.615,17.925,15.545,13.925,1998.0,67.6,95.3,-156.3,-395.7,-117.3,1065.6,19.93,3.87,29.97
29.98,-0.145,15.25,25.315,19.744,1998.0,204.5,-48.4,-173.1,-438.9,-94.5,1064.0,19.93,3.87,29.98
29.99,5.795,5.3,10.39,3.214,1997.9,273.1,-300.9,-165.9,-402.9,-51.9,1065.0,19.93,3.87,29.99
30.0,4.115,-6.875,2.6,-1.386,1998.0,-167.1,-33.4,-153.9,-131.7,-20.7,1064.2,19.93,3.87,30.0
30.01,4.115,-6.875,2.6,-1.386,1998.0,-167.1,-33.4,-153.9,-131.7,-20.7,1064.1,19.89,3.87,30.01
30.02,8.965,-8.325,-11.765,7.163,1998.0,-34.8,-56.4,-146.7,14.7,-39.3,1063.0,19.89,3.87,30.02
30.03,0.85,2.52,9.715,0.262,1998.0,-30.4,23.1,-149.1,72.3,-68.7,1063.3,19.89,3.87,30.03
30.04,5.48,-7.68,19.965,12.272,1998.0,23.1,76.0,-134.7,38.7,-98.7,1063.1,19.89,3.87,30.04
30.05,1.29,-1.74,25.48,15.762,1998.0,-25.8,43.0,-137.1,-38.1,-135.9,1060.8,19.89,3.87,30.05
30.06,-1.07,6.865,27.33,18.389,1998.0,86.4,130.1,-125.1,-165.3,-146.7,1059.6,19.89,3.87,30.06
30.07,3.415,-10.75,41.695,33.384,1998.0,59.9,-0.6,-120.3,-314.1,-133.5,1060.5,19.89,3.87,30.07
30.08,1.775,6.66,13.615,5.45,1998.0,-129.5,87.5,-129.9,-426.9,-105.9,1059.5,19.89,3.87,30.08
30.09,-0.03,29.62,5.43,20.304,1998.0,-29.1,86.2,-129.9,-453.3,-85.5,1059.5,19.89,3.87,30.09
30.1,4.24,5.94,34.5,25.453,1998.0,-15.6,15.2,-137.1,-369.3,-43.5,1058.8,19.89,3.87,30.1
30.11,-0.665,-5.4,8.27,0.089,1998.0,-1.4,-56.1,-113.1,-230.1,-20.7,1058.1,19.89,3.87,30.11
30.12,-1.44,-5.81,6.69,-0.833,1998.0,-34.3,64.2,-103.5,-81.3,-35.1,1056.7,19.89,3.87,30.12
30.13,0.39,2.97,2.535,-5.886,1998.0,56.0,-20.1,-74.7,74.7,-69.9,1055.8,19.89,3.87,30.13
30.14,4.175,-14.545,30.285,24.045,1998.0,158.3,-101.8,-33.9,72.3,-114.9,1054.3,19.89,3.87,30.14
30.15,-1.7,-7.23,25.62,16.865,1998.0,-68.2,-59.5,-89.1,53.1,-158.7,1056.7,19.89,3.87,30.15
30.16,2.45,-7.69,15.1,7.312,1998.0,-7.4,-26.4,-105.9,-153.3,-164.1,1053.8,19.89,3.87,30.16
30.17,-3.24,20.025,28.59,25.245,1998.0,104.2,-52.1,-125.1,-342.9,-153.9,1052.3,19.89,3.87,30.17
30.18,0.29,9.745,38.47,29.876,1998.0,42.2,42.8,-134.7,-472.5,-108.9,1053.4,19.89,3.87,30.18
30.19,-0.06,18.275,7.88,10.092,1998.0,18.0,29.2,-161.1,-477.3,-62.7,1051.8,19.89,3.87,30.19
30.2,1.095,5.695,28.57,19.343,1998.0,72.9,32.9,-194.7,-328.5,-23.1,1051.5,19.89,3.87,30.2
30.21,0.21,1.205,11.805,2.058,1998.0,-31.0,124.5,-204.3,-114.9,-12.9,1050.5,19.89,3.87,30.21
30.22,-1.025,-5.015,11.535,2.81,1998.0,-14.1,-11.9,-240.3,62.7,-46.5,1050.0,19.89,3.87,30.22
30.23,3.24,-10.905,31.075,23.282,1998.0,18.6,-1.5,-237.9,117.9,-95.7,1050.3,19.89,3.87,30.23
30.24,2.195,-8.71,17.475,9.838,1998.0,-16.7,60.1,-225.9,-2.1,-154.5,1048.4,19.89,3.87,30.24
30.25,1.545,-3.12,28.96,19.359,1998.0,59.3,-3.2,-189.9,-203.7,-182.7,1048.1,19.89,3.87,30.25
30.26,0.41,6.11,25.265,16.187,1998.0,6.4,14.3,-177.9,-424.5,-159.9,1048.1,19.89,3.87,30.26
30.27,3.115,22.565,21.675,21.633,1998.0,45.6,48.7,-165.9,-573.3,-122.1,1047.5,19.89,3.87,30.27
30.28,0.455,7.295,32.54,23.541,1998.0,14.9,-18.5,-175.5,-566.1,-66.3,1047.0,19.89,3.87,30.28
30.29,0.525,7.53,3.86,-1.332,1998.0,25.8,23.4,-177.9,-426.9,-17.1,1046.0,19.89,3.87,30.29
30.3,1.95,-2.56,13.835,4.394,1998.0,60.8,48.9,-185.1,-256.5,8.1,1046.9,19.89,3.87,30.3
30.31,1.02,2.35,10.405,0.906,1998.0,24.2,20.7,-146.7,-47.7,-3.3,1045.5,19.89,3.87,30.31
30.32,0.645,-9.405,19.295,11.665,1998.0,50.7,35.1,-158.7,57.9,-30.3,1045.6,19.89,3.87,30.32
30.33,1.3,-2.255,22.25,12.592,1998.0,34.8,71.3,-132.3,117.9,-60.9,1045.2,19.89,3.87,30.33
30.34,0.975,-3.82,29.415,19.868,1998.0,-17.6,33.3,-134.7,-2.1,-96.9,1045.1,19.89,3.87,30.34
30.35,-0.055,1.515,25.1,15.336,1998.0,13.5,56.8,-141.9,-162.9,-125.1,1044.0,19.89,3.87,30.35
30.36,-0.575,7.045,21.86,13.164,1998.0,60.6,7.4,-185.1,-330.9,-126.3,1042.9,19.89,3.87,30.36
30.37,-0.09,7.015,20.035,11.418,1998.0,54.8,19.3,-189.9,-450.9,-99.9,1042.7,19.89,3.87,30.37
30.38,4.11,11.78,6.48,4.249,1998.0,54.1,3.0,-197.1,-477.3,-65.7,1042.3,19.89,3.87,30.38
30.39,-1.37,10.075,11.92,5.857,1998.0,-25.1,29.0,-204.3,-395.7,-26.7,1040.7,19.89,3.87,30.39
30.4,1.445,-1.45,4.035,-5.285,1998.0,15.7,31.2,-213.9,-222.9,-5.7,1041.4,19.89,3.87,30.4
30.41,0.75,6.0,0.09,-3.763,1998.0,2.0,22.9,-197.1,-69.3,-3.9,1039.3,19.89,3.87,30.41
30.42,1.59,-2.85,12.995,3.589,1998.0,-20.8,30.6,-201.9,81.9,-24.3,1041.9,19.89,3.87,30.42
30.43,-0.125,0.81,3.085,-6.618,1998.0,-61.4,13.9,-185.1,137.1,-60.9,1038.8,19.89,3.87,30.43
30.44,0.395,-6.44,20.47,11.653,1998.0,14.8,52.6,-180.3,110.7,-95.1,1041.0,19.89,3.87,30.44
30.45,-0.225,-9.645,9.0,3.384,1998.0,-14.3,67.1,-177.9,-23.7,-140.1,1038.0,19.89,3.87,30.45
30.46,1.115,5.205,25.185,15.931,1998.0,32.7,1.7,-180.3,-170.1,-148.5,1039.6,19.89,3.87,30.46
30.47,0.82,-4.055,22.405,12.974,1998.0,-66.7,93.4,-197.1,-321.3,-150.3,1037.7,19.89,3.87,30.47
30.48,2.435,9.725,10.61,4.787,1998.0,-160.1,-22.4,-209.1,-426.9,-123.9,1037.7,19.89,3.87,30.48
30.49,-0.485,5.33,16.55,7.584,1998.0,-96.3,-7.1,-204.3,-491.7,-99.3,1037.0,19.89,3.87,30.49
30.5,6.435,15.605,1.27,7.117,1998.0,-16.5,134.8,-209.1,-477.3,-62.7,1036.3,19.89,3.87,30.5
30.51,-2.355,7.795,12.165,4.829,1886.3,-130.7,103.8,-209.1,-448.5,-36.3,1036.3,19.88,3.87,30.51
30.52,-1.61,2.815,-14.67,5.214,1724.9,43.1,50.9,-240.3,-364.5,-20.1,1034.6,19.88,3.87,30.52
30.53,1.47,8.86,4.675,0.315,1818.4,45.1,4.6,-245.1,-261.3,-9.3,1033.8,19.88,3.87,30.53
30.54,-1.77,2.875,2.645,-5.521,1651.7,-117.8,50.3,-233.1,-155.7,-5.1,1033.7,19.88,3.87,30.54
30.55,2.395,-4.1,-9.925,1.192,1667.7,9.1,-42.0,-230.7,-52.5,-6.9,1034.4,19.88,3.87,30.55
30.56,0.85,-1.855,-5.935,-3.534,1702.0,32.8,42.9,-254.7,17.1,-18.3,1033.4,19.88,3.87,30.56
30.57,0.75,-10.55,-3.0,1.184,1767.2,4.7,-22.2,-254.7,98.7,-33.3,1032.1,19.88,3.87,30.57
30.58,1.015,-1.67,0.835,-7.685,1961.5,62.0,113.4,-242.7,132.3,-65.1,1032.5,19.88,3.87,30.58
30.59,1.98,-8.29,0.295,-1.282,1928.9,-86.3,-64.2,-252.3,173.1,-98.7,1031.6,19.88,3.87,30.59
30.6,3.335,-3.96,5.98,-1.9,1936.6,-16.5,-87.4,-233.1,151.5,-129.9,1030.3,19.88,3.87,30.6
30.61,4.53,-4.815,23.485,14.588,1984.1,47.9,4.2,-221.1,96.3,-156.9,1029.9,19.88,3.87,30.61
30.62,1.72,-5.05,5.035,-2.474,1998.0,77.3,10.2,-218.7,-30.9,-171.9,1029.6,19.88,3.87,30.62
30.63,3.015,10.78,23.44,16.166,1998.0,4.2,67.6,-197.1,-179.7,-175.5,1030.3,19.88,3.87,30.63
30.64,1.31,-2.555,17.125,7.554,1997.7,20.4,111.8,-204.3,-311.7,-165.3,1028.6,19.88,3.87,30.64
30.65,1.47,-5.315,13.915,5.158,1998.0,69.0,47.9,-211.5,-426.9,-140.7,1029.1,19.88,3.87,30.65
30.66,4.75,11.975,11.345,7.356,1998.0,-46.2,1.5,-245.1,-491.7,-119.1,1028.4,19.88,3.87,30.66
30.67,-0.175,7.985,3.865,-0.937,1998.0,-124.5,-65.4,-235.5,-515.7,-85.5,1028.5,19.88,3.87,30.67
30.68,3.885,16.97,-11.16,10.869,1998.0,136.1,57.4,-266.7,-513.3,-53.7,1028.4,19.88,3.87,30.68
30.69,1.895,8.09,12.16,4.918,1998.0,104.8,1.6,-271.5,-462.9,-35.1,1026.3,19.88,3.87,30.69
30.7,1.325,7.69,8.0,1.365,1992.0,36.2,-45.7,-281.1,-378.9,-8.7,1027.3,19.88,3.87,30.7
30.71,4.845,1.12,-5.52,-2.38,1974.7,-23.9,33.1,-273.9,-297.3,-9.9,1026.8,19.88,3.87,30.71
30.72,0.64,1.68,-0.93,-7.786,1986.2,-123.5,180.0,-266.7,-198.9,-3.3,1025.6,19.88,3.87,30.72
30.73,0.655,-9.615,-2.015,0.036,1980.7,-20.4,46.2,-273.9,-100.5,-14.1,1025.0,19.88,3.87,30.73
30.74,2.375,-9.34,-1.575,-0.045,1947.0,3.0,-119.2,-254.7,-11.7,-39.9,1025.3,19.88,3.87,30.74
30.75,2.09,-1.25,-0.895,-7.215,1933.5,0.1,40.3,-249.9,53.1,-56.1,1024.7,19.88,3.87,30.75
30.76,3.315,-13.89,8.935,7.035,1927.8,-13.3,12.3,-249.9,65.1,-79.5,1025.5,19.88,3.87,30.76
30.77,1.405,-7.15,3.465,-1.741,1928.4,-16.8,-28.9,-259.5,50.7,-103.5,1024.2,19.88,3.87,30.77
30.78,1.405,-7.15,3.465,-1.741,1928.4,-16.8,-28.9,-259.5,50.7,-103.5,1023.9,19.88,3.87,30.78
30.79,2.795,-5.89,12.18,4.005,1916.6,52.6,-0.1,-249.9,53.1,-122.7,1023.1,19.88,3.87,30.79
30.8,0.815,-4.02,17.73,8.388,1942.1,-24.0,-1.2,-269.1,-33.3,-143.7,1022.5,19.88,3.87,30.8
30.81,1.39,-4.345,9.385,0.625,1852.1,-16.2,-28.4,-254.7,-117.3,-147.3,1022.5,19.88,3.87,30.81
30.82,1.91,-0.96,10.025,0.44,1776.3,30.2,-58.0,-266.7,-218.1,-152.7,1022.3,19.88,3.87,30.82
30.83,0.78,13.415,17.845,12.529,1769.3,-16.7,-4.5,-261.9,-321.3,-150.9,1021.7,19.88,3.87,30.83
30.84,2.075,8.36,11.76,4.767,1731.7,-46.9,64.0,-257.1,-395.7,-142.5,1020.5,19.88,3.87,30.84
30.85,1.76,0.815,9.87,0.249,1648.5,-38.7,-21.7,-269.1,-484.5,-120.3,1020.8,19.88,3.87,30.85
30.86,0.45,6.595,7.185,-0.047,1624.2,-39.5,-19.3,-266.7,-496.5,-94.5,1021.0,19.88,3.87,30.86
30.87,0.485,12.35,-1.255,2.613,1615.6,41.8,62.8,-273.9,-508.5,-83.7,1020.4,19.88,3.87,30.87
30.88,2.37,10.595,0.285,1.051,1545.7,34.5,61.4,-276.3,-486.9,-60.9,1020.4,19.88,3.87,30.88
30.89,1.185,7.56,5.55,-0.357,1461.0,-47.3,28.7,-273.9,-460.5,-42.9,1020.9,19.88,3.87,30.89
30.9,1.815,8.935,-8.725,2.81,1462.6,-24.3,47.1,-276.3,-383.7,-24.3,1020.7,19.88,3.87,30.9
30.91,1.55,5.83,-8.395,0.528,1570.1,54.3,44.8,-297.9,-304.5,-15.3,1020.1,19.88,3.87,30.91
30.92,0.455,5.775,-5.175,-2.042,1656.2,19.8,84.9,-281.1,-225.3,-5.1,1019.5,19.88,3.87,30.92
30.93,-0.07,4.51,-2.76,-4.522,1638.7,30.4,90.8,-297.9,-124.5,-9.3,1019.7,19.88,3.87,30.93
30.94,1.165,-2.075,-6.48,-2.907,1623.0,72.6,-2.8,-276.3,-50.1,-13.5,1019.5,19.88,3.87,30.94
30.95,3.265,-8.945,-5.19,1.035,1669.5,72.5,-66.8,-293.1,17.1,-22.5,1019.4,19.88,3.87,30.95
30.96,0.505,-3.36,-3.28,-5.087,1716.2,53.6,13.1,-281.1,79.5,-50.7,1020.8,19.88,3.87,30.96
30.97,0.41,-4.955,-1.13,-4.711,1724.2,48.5,16.7,-300.3,120.3,-76.5,1020.0,19.88,3.87,30.97
30.98,1.755,-8.905,5.76,0.94,1740.3,49.8,3.1,-290.7,141.9,-95.7,1021.0,19.88,3.87,30.98
30.99,2.405,-12.395,15.415,10.116,1790.7,21.4,-32.2,-297.9,117.9,-117.3,1019.2,19.88,3.87,30.99
31.0,0.565,-5.975,5.11,-1.928,1798.4,46.2,-28.2,-288.3,69.9,-129.9,1017.2,19.88,3.87,31.0
31.01,1.285,-4.44,8.495,-0.139,1766.7,24.2,-11.8,-281.1,0.3,-141.3,1017.1,19.87,3.87,31.01
31.02,1.975,-1.945,12.015,2.521,1739.7,6.0,22.4,-290.7,-95.7,-159.9,1016.7,19.87,3.87,31.02
31.03,3.635,6.06,16.855,8.466,1702.6,7.6,72.8,-283.5,-208.5,-159.9,1015.7,19.87,3.87,31.03
31.04,1.575,3.565,11.545,2.375,1679.6,68.7,65.1,-290.7,-275.7,-160.5,1015.2,19.87,3.87,31.04
31.05,1.165,3.705,9.275,0.245,1655.3,135.2,31.2,-278.7,-352.5,-144.3,1014.9,19.87,3.87,31.05
31.06,1.9,8.37,6.855,1.174,1614.2,172.3,11.1,-285.9,-419.7,-128.7,1015.0,19.87,3.87,31.06
31.07,1.545,7.83,5.03,-0.376,1578.7,184.9,-67.6,-264.3,-462.9,-109.5,1015.1,19.87,3.87,31.07
31.08,0.875,6.07,3.81,-2.59,1542.9,184.7,-134.2,-278.7,-477.3,-86.1,1015.1,19.87,3.87,31.08
31.09,1.105,6.565,1.76,-2.924,1503.6,171.5,-176.7,-266.7,-465.3,-62.7,1014.9,19.87,3.87,31.09
31.1,3.99,6.585,-7.49,0.932,1453.8,118.5,-221.0,-261.9,-448.5,-47.1,1014.9,19.87,3.87,31.1
31.11,1.22,6.035,-4.125,-2.399,1338.9,-31.7,-246.9,-249.9,-398.1,-31.5,1014.7,19.87,3.87,31.11
31.12,-0.085,4.995,-3.155,-3.901,1234.5,-53.9,-228.7,-273.9,-338.1,-19.5,1014.6,19.87,3.87,31.12
31.13,0.175,3.7,-3.935,-4.406,1181.5,-49.9,-221.4,-235.5,-263.7,-17.7,1015.0,19.87,3.87,31.13
31.14,0.0,2.79,-4.42,-4.583,1152.6,-82.4,-220.6,-233.1,-208.5,-7.5,1015.5,19.87,3.87,31.14
31.15,-0.445,1.845,-5.68,-3.821,1137.1,-120.6,-209.5,-225.9,-138.9,-8.7,1015.9,19.87,3.87,31.15
31.16,1.46,-6.005,-10.315,2.215,1105.4,-149.5,-181.8,-235.5,-64.5,-8.1,1015.5,19.87,3.87,31.16
31.17,-1.505,-3.055,-7.0,-2.026,952.5,-186.6,-69.7,-230.7,-2.1,-12.9,1016.3,19.87,3.87,31.17
31.18,-3.58,0.14,-6.96,-1.982,924.7,-188.3,-22.3,-218.7,38.7,-27.3,1015.5,19.87,3.87,31.18
31.19,-11.545,-1.935,-30.99,23.317,834.5,74.5,17.9,-194.7,62.7,-32.1,1017.3,19.87,3.87,31.19
31.2,0.805,-8.825,-22.625,14.489,601.2,551.8,18.8,-216.3,110.7,-45.3,1015.3,19.87,3.87,31.2
31.21,1.23,-14.06,-18.755,13.662,622.8,207.9,7.0,-209.1,146.7,-47.7,1014.8,19.87,3.87,31.21
31.22,-4.6,-6.45,-7.69,1.231,165.9,-88.7,71.0,-206.7,137.1,-45.3,1014.5,19.87,3.87,31.22
31.23,-2.075,-8.97,-7.725,2.208,114.5,69.2,-41.4,-199.5,129.9,-44.7,1013.4,19.87,3.87,31.23
31.24,-1.245,-6.5,-6.67,-0.414,119.0,129.3,-126.2,-201.9,137.1,-41.1,1013.3,19.87,3.87,31.24
31.25,-1.565,-5.925,-5.81,-1.365,94.0,139.2,-84.0,-221.1,122.7,-51.3,1012.6,19.87,3.87,31.25
31.26,0.195,-7.58,-4.7,-0.889,101.8,118.8,-90.8,-216.3,129.9,-51.3,1013.5,19.87,3.87,31.26
31.27,2.045,-7.445,-8.72,1.837,146.1,117.9,-25.3,-240.3,122.7,-45.9,1012.8,19.87,3.87,31.27
31.28,-0.555,-4.53,-2.33,-4.686,-51.0,50.0,24.8,-247.5,127.5,-48.3,1012.7,19.87,3.87,31.28
31.29,-0.445,-4.56,-7.62,-0.919,-23.2,10.9,10.0,-249.9,137.1,-54.3,1013.7,19.87,3.87,31.29
31.3,-1.705,-5.73,-3.465,-2.9,130.9,40.6,23.3,-240.3,134.7,-57.3,1013.4,19.87,3.87,31.3
31.31,-1.635,-6.17,-2.76,-2.856,147.6,54.4,36.6,-259.5,149.1,-52.5,1013.5,19.87,3.87,31.31
31.32,-0.265,-6.035,-6.96,-0.594,134.9,74.8,42.3,-266.7,129.9,-55.5,1013.4,19.87,3.87,31.32
31.33,0.97,-6.81,-5.475,-1.018,144.2,95.6,49.4,-266.7,117.9,-51.9,1013.0,19.87,3.87,31.33
31.34,1.965,-14.25,-3.79,5.066,125.6,7.4,9.9,-242.7,129.9,-60.3,1013.8,19.87,3.87,31.34
31.35,2.135,-16.75,-5.575,7.972,45.5,36.6,-87.5,-269.1,141.9,-59.1,1011.3,19.87,3.87,31.35
31.36,3.43,-8.475,-5.97,1.109,-272.1,105.2,39.4,-259.5,144.3,-56.1,1010.3,19.87,3.87,31.36
31.37,-1.055,-4.69,2.35,-4.459,-675.1,-70.1,8.2,-264.3,113.1,-46.5,1009.0,19.87,3.87,31.37
31.38,-1.63,-8.03,-1.075,-1.546,-662.8,-98.4,-31.5,-269.1,110.7,-40.5,1009.4,19.87,3.87,31.38
31.39,-2.605,-8.72,-16.155,8.732,-547.4,-37.1,-60.2,-249.9,81.9,-27.3,1008.4,19.87,3.87,31.39
31.4,0.58,-7.475,-2.345,-1.954,-457.3,146.3,-58.7,-278.7,65.1,-23.7,1007.8,19.87,3.87,31.4
31.41,0.7,-7.955,-2.575,-1.419,-457.0,132.3,-79.8,-288.3,9.9,-23.1,1008.7,19.87,3.87,31.41
31.42,0.05,-7.55,-4.57,-0.984,-414.4,97.6,-116.5,-312.3,0.3,-17.7,1008.0,19.87,3.87,31.42
31.43,0.3,-6.61,-5.125,-1.441,-372.6,94.0,-144.5,-321.9,2.7,-20.1,1007.6,19.87,3.87,31.43
31.44,3.2,-3.475,-8.56,-0.033,-333.1,82.0,-181.2,-326.7,-14.1,-18.9,1007.9,19.87,3.87,31.44
31.45,4.75,-3.82,-9.895,1.812,-265.0,4.9,-279.3,-333.9,-21.3,-15.9,1008.2,19.87,3.87,31.45
31.46,1.805,-6.29,-7.91,0.456,-213.8,-73.8,-361.6,-324.3,-35.7,-12.3,1007.0,19.87,3.87,31.46
31.47,-0.12,-6.44,-6.89,-0.378,-183.8,-76.6,-388.2,-331.5,-74.1,-9.3,1006.5,19.87,3.87,31.47
31.48,0.895,-5.35,-7.855,-0.264,-158.2,-48.9,-396.6,-336.3,-66.9,-6.9,1006.0,19.87,3.87,31.48
31.49,2.6,-3.845,-10.01,1.224,-137.9,-36.8,-400.7,-353.1,-66.9,-11.1,1004.7,19.87,3.87,31.49
31.5,3.46,-2.315,-12.59,3.45,-243.2,-84.7,-445.4,-341.1,-62.1,-6.9,1003.6,19.87,3.87,31.5
31.51,0.615,-5.065,-8.7,0.276,-384.3,-135.7,-495.0,-353.1,-107.7,-2.7,1003.6,19.85,3.87,31.51
31.52,0.87,-3.98,-9.105,0.165,-368.8,-113.5,-462.6,-345.9,-119.7,-11.7,1002.2,19.85,3.87,31.52
31.53,1.455,-2.615,-9.905,0.537,-342.1,-89.3,-418.1,-336.3,-148.5,-10.5,1001.7,19.85,3.87,31.53
31.54,1.295,-1.37,-9.905,0.273,-338.9,-69.9,-372.8,-324.3,-179.7,-9.9,1001.8,19.85,3.87,31.54
31.55,0.855,0.295,-9.71,-0.058,-340.5,-47.8,-319.3,-336.3,-191.7,-4.5,1002.3,19.85,3.87,31.55
31.56,0.15,2.085,-8.77,-0.794,-347.4,-27.8,-257.9,-302.7,-227.7,-7.5,1002.4,19.85,3.87,31.56
31.57,0.05,3.31,-7.975,-1.175,-360.4,-19.3,-193.9,-300.3,-232.5,-2.1,1002.0,19.85,3.87,31.57
31.58,0.16,4.435,-7.515,-1.082,-375.3,-13.1,-139.9,-314.7,-270.9,-6.9,1001.4,19.85,3.87,31.58
31.59,0.435,5.655,-6.78,-0.971,-392.6,-6.0,-97.3,-297.9,-275.7,-18.9,1001.4,19.85,3.87,31.59
31.6,0.525,6.885,-5.995,-0.666,-412.8,-1.2,-62.1,-309.9,-314.1,-15.3,1001.8,19.85,3.87,31.6
31.61,0.665,7.625,-4.875,-0.735,-434.2,1.4,-32.6,-305.1,-311.7,-14.7,1001.6,19.85,3.87,31.61
