Time (s),Accel_X (g),Accel_Y (g),Accel_Z (g),Accel_Mag (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s),Mag_X (mT),Mag_Y (mT),Mag_Z (mT),Pressure (mbar),P_Temp (C),Battery (V),time
0.45,-9.585,-2.55,-3.7,0.776,-136.7,63.5,60.1,-12.3,-124.5,-44.1,999.3,20.01,3.9,0.45
0.46,-7.95,-3.255,-1.665,-1.06,36.4,36.4,52.8,-19.5,-131.7,-47.1,999.5,20.01,3.9,0.46
0.47,-7.89,-5.57,-2.225,0.101,86.7,7.3,45.3,-36.3,-117.3,-39.3,999.2,20.01,3.9,0.47
0.48,-9.51,-4.745,-5.685,2.243,29.8,-10.9,40.2,-19.5,-124.5,-45.9,999.3,20.01,3.9,0.48
0.49,-9.105,-5.255,-6.26,2.425,3.8,0.7,17.6,-19.5,-131.7,-47.7,999.4,20.01,3.9,0.49
0.5,-7.365,-8.925,-4.4,2.57,-173.7,34.4,11.7,-41.1,-129.3,-43.5,999.6,20.01,3.9,0.5
0.51,-2.2,-6.835,1.88,-2.388,-553.7,73.5,36.0,-31.5,-134.1,-42.9,1000.1,20.24,3.9,0.51
0.52,-7.815,-3.185,1.615,-1.218,-779.2,90.9,26.3,-29.1,-170.1,-35.7,999.8,20.24,3.9,0.52
0.53,-11.41,-1.17,1.01,1.704,-666.0,61.8,-16.6,-29.1,-189.3,-43.5,999.6,20.24,3.9,0.53
0.54,-9.555,-3.285,-2.22,0.535,-363.4,19.3,-66.5,-33.9,-196.5,-36.9,999.9,20.24,3.9,0.54
0.55,-6.825,-4.03,-3.735,-1.048,-175.2,-35.1,-46.0,-26.7,-210.9,-41.7,999.9,20.24,3.9,0.55
0.56,-8.485,-3.125,-3.9,0.037,-113.4,-58.7,-14.7,-31.5,-222.9,-47.1,999.8,20.24,3.9,0.56
0.57,-8.655,-2.83,-5.505,0.831,-95.9,-57.1,-14.0,-31.5,-206.1,-45.3,999.8,20.24,3.9,0.57
0.58,-8.805,-2.235,-4.95,0.535,-56.2,-53.7,-24.8,-24.3,-203.7,-44.7,999.6,20.24,3.9,0.58
0.59,-9.27,-2.23,-4.86,0.892,53.6,-56.9,-32.8,-17.1,-225.3,-43.5,999.7,20.24,3.9,0.59
0.6,-9.29,-2.915,-5.165,1.212,144.6,-66.8,-34.9,-26.7,-215.7,-47.7,999.7,20.24,3.9,0.6
0.61,-9.405,-3.37,-4.295,1.065,123.1,-63.5,-41.5,-7.5,-206.1,-44.1,999.8,20.24,3.9,0.61
0.62,-7.84,-4.55,-3.5,-0.093,29.6,-38.5,-43.5,-21.9,-210.9,-45.3,999.9,20.24,3.9,0.62
0.63,-7.55,-4.08,-4.115,-0.293,-54.0,-7.2,-26.3,-26.7,-206.1,-45.9,999.7,20.24,3.9,0.63
